gene,gene_ID_robin,cluster
GQ602_000447,Ophcf2|00447,1
GQ602_000448,Ophcf2|00448,1
GQ602_000452,Ophcf2|00452,1
GQ602_000457,Ophcf2|00457,1
GQ602_000467,Ophcf2|00467,3
GQ602_000470,Ophcf2|00470,2
GQ602_000471,Ophcf2|00471,2
GQ602_000475,Ophcf2|00475,2
GQ602_000480,Ophcf2|00480,4
GQ602_000483,Ophcf2|00483,4
GQ602_000485,Ophcf2|00485,4
GQ602_000488,Ophcf2|00488,1
GQ602_000497,Ophcf2|00497,4
GQ602_000498,Ophcf2|00498,2
GQ602_000503,Ophcf2|00503,3
GQ602_000507,Ophcf2|00507,3
GQ602_000508,Ophcf2|00508,4
GQ602_000511,Ophcf2|00511,2
GQ602_000525,Ophcf2|00525,1
GQ602_000528,Ophcf2|00528,2
GQ602_000529,Ophcf2|00529,4
GQ602_000534,Ophcf2|00534,4
GQ602_000542,Ophcf2|00542,1
GQ602_000547,Ophcf2|00547,4
GQ602_000548,Ophcf2|00548,3
GQ602_000551,Ophcf2|00551,4
GQ602_000553,Ophcf2|00553,2
GQ602_000558,Ophcf2|00558,4
GQ602_000563,Ophcf2|00563,1
GQ602_000569,Ophcf2|00569,4
GQ602_000570,Ophcf2|00570,1
GQ602_000574,Ophcf2|00574,4
GQ602_000576,Ophcf2|00576,2
GQ602_000578,Ophcf2|00578,3
GQ602_000581,Ophcf2|00581,1
GQ602_000583,Ophcf2|00583,1
GQ602_000584,Ophcf2|00584,3
GQ602_000587,Ophcf2|00587,4
GQ602_000592,Ophcf2|00592,4
GQ602_000597,Ophcf2|00597,4
GQ602_000600,Ophcf2|00600,1
GQ602_000602,Ophcf2|00602,4
GQ602_000604,Ophcf2|00604,1
GQ602_000605,Ophcf2|00605,4
GQ602_000607,Ophcf2|00607,4
GQ602_000609,Ophcf2|00609,2
GQ602_000610,Ophcf2|00610,4
GQ602_000615,Ophcf2|00615,4
GQ602_000616,Ophcf2|00616,1
GQ602_000617,Ophcf2|00617,2
GQ602_000629,Ophcf2|00629,4
GQ602_000630,Ophcf2|00630,1
GQ602_000633,Ophcf2|00633,4
GQ602_000636,Ophcf2|00636,4
GQ602_000642,Ophcf2|00642,4
GQ602_000644,Ophcf2|00644,1
GQ602_000645,Ophcf2|00645,1
GQ602_000648,Ophcf2|00648,1
GQ602_000649,Ophcf2|00649,2
GQ602_000650,Ophcf2|00650,1
GQ602_000652,Ophcf2|00652,1
GQ602_000655,Ophcf2|00655,2
GQ602_000657,Ophcf2|00657,1
GQ602_000658,Ophcf2|00658,2
GQ602_000659,Ophcf2|00659,1
GQ602_000660,Ophcf2|00660,4
GQ602_000661,Ophcf2|00661,2
GQ602_000672,Ophcf2|00672,1
GQ602_000681,Ophcf2|00681,1
GQ602_000682,Ophcf2|00682,2
GQ602_000683,Ophcf2|00683,3
GQ602_000685,Ophcf2|00685,4
GQ602_000688,Ophcf2|00688,3
GQ602_000695,Ophcf2|00695,2
GQ602_000696,Ophcf2|00696,2
GQ602_000697,Ophcf2|00697,4
GQ602_000698,Ophcf2|00698,4
GQ602_000700,Ophcf2|00700,1
GQ602_000701,Ophcf2|00701,1
GQ602_000703,Ophcf2|00703,1
GQ602_000704,Ophcf2|00704,3
GQ602_000707,Ophcf2|00707,3
GQ602_000718,Ophcf2|00718,2
GQ602_000723,Ophcf2|00723,1
GQ602_000729,Ophcf2|00729,3
GQ602_000732,Ophcf2|00732,4
GQ602_000734,Ophcf2|00734,3
GQ602_000736,Ophcf2|00736,1
GQ602_000737,Ophcf2|00737,1
GQ602_000740,Ophcf2|00740,4
GQ602_000741,Ophcf2|00741,1
GQ602_000742,Ophcf2|00742,3
GQ602_000745,Ophcf2|00745,1
GQ602_000746,Ophcf2|00746,1
GQ602_000747,Ophcf2|00747,4
GQ602_000750,Ophcf2|00750,3
GQ602_000751,Ophcf2|00751,3
GQ602_000759,Ophcf2|00759,3
GQ602_000761,Ophcf2|00761,1
GQ602_000763,Ophcf2|00763,4
GQ602_000765,Ophcf2|00765,1
GQ602_000768,Ophcf2|00768,2
GQ602_000769,Ophcf2|00769,2
GQ602_000773,Ophcf2|00773,1
GQ602_000775,Ophcf2|00775,1
GQ602_000779,Ophcf2|00779,1
GQ602_000785,Ophcf2|00785,1
GQ602_000791,Ophcf2|00791,1
GQ602_000794,Ophcf2|00794,2
GQ602_000797,Ophcf2|00797,1
GQ602_000800,Ophcf2|00800,2
GQ602_000806,Ophcf2|00806,3
GQ602_000808,Ophcf2|00808,1
GQ602_000809,Ophcf2|00809,1
GQ602_000811,Ophcf2|00811,3
GQ602_000816,Ophcf2|00816,3
GQ602_000817,Ophcf2|00817,4
GQ602_000820,Ophcf2|00820,4
GQ602_000821,Ophcf2|00821,4
GQ602_000824,Ophcf2|00824,4
GQ602_000825,Ophcf2|00825,2
GQ602_000827,Ophcf2|00827,4
GQ602_000831,Ophcf2|00831,4
GQ602_000834,Ophcf2|00834,4
GQ602_000836,Ophcf2|00836,1
GQ602_000841,Ophcf2|00841,1
GQ602_000846,Ophcf2|00846,2
GQ602_000847,Ophcf2|00847,1
GQ602_000848,Ophcf2|00848,1
GQ602_000850,Ophcf2|00850,1
GQ602_000852,Ophcf2|00852,1
GQ602_000861,Ophcf2|00861,4
GQ602_000862,Ophcf2|00862,2
GQ602_000863,Ophcf2|00863,2
GQ602_000866,Ophcf2|00866,2
GQ602_000867,Ophcf2|00867,2
GQ602_000868,Ophcf2|00868,3
GQ602_000870,Ophcf2|00870,1
GQ602_000875,Ophcf2|00875,4
GQ602_000878,Ophcf2|00878,3
GQ602_000879,Ophcf2|00879,3
GQ602_000883,Ophcf2|00883,1
GQ602_000885,Ophcf2|00885,1
GQ602_000887,Ophcf2|00887,4
GQ602_000888,Ophcf2|00888,1
GQ602_000890,Ophcf2|00890,1
GQ602_000891,Ophcf2|00891,1
GQ602_000892,Ophcf2|00892,2
GQ602_000901,Ophcf2|00901,3
GQ602_000904,Ophcf2|00904,1
GQ602_000906,Ophcf2|00906,1
GQ602_000907,Ophcf2|00907,1
GQ602_000908,Ophcf2|00908,1
GQ602_000911,Ophcf2|00911,4
GQ602_000914,Ophcf2|00914,2
GQ602_000915,Ophcf2|00915,2
GQ602_000916,Ophcf2|00916,1
GQ602_000917,Ophcf2|00917,1
GQ602_000921,Ophcf2|00921,2
GQ602_000922,Ophcf2|00922,1
GQ602_000923,Ophcf2|00923,1
GQ602_000925,Ophcf2|00925,4
GQ602_000927,Ophcf2|00927,1
GQ602_000928,Ophcf2|00928,2
