"gene_name","module_identity","GCN"
"BBA_00531","brown","beau"
"BBA_00536","brown","beau"
"BBA_00537","brown","beau"
"BBA_00538","brown","beau"
"BBA_00543","brown","beau"
"BBA_00544","brown","beau"
"BBA_00546","brown","beau"
"BBA_00548","brown","beau"
"BBA_00549","brown","beau"
"BBA_00551","brown","beau"
"BBA_00552","brown","beau"
"BBA_00555","brown","beau"
"BBA_00557","brown","beau"
"BBA_00561","brown","beau"
"BBA_00564","brown","beau"
"BBA_00565","brown","beau"
"BBA_00568","brown","beau"
"BBA_00570","brown","beau"
"BBA_00571","brown","beau"
"BBA_00572","brown","beau"
"BBA_00573","brown","beau"
"BBA_00574","brown","beau"
"BBA_00576","brown","beau"
"BBA_00577","brown","beau"
"BBA_00579","brown","beau"
"BBA_00580","brown","beau"
"BBA_00582","brown","beau"
"BBA_00583","brown","beau"
"BBA_00586","brown","beau"
"BBA_00587","brown","beau"
"BBA_00588","brown","beau"
"BBA_00592","brown","beau"
"BBA_00594","brown","beau"
"BBA_00595","brown","beau"
"BBA_00597","brown","beau"
"BBA_00600","brown","beau"
"BBA_00602","brown","beau"
"BBA_00612","brown","beau"
"BBA_00613","brown","beau"
"BBA_00614","brown","beau"
"BBA_00616","brown","beau"
"BBA_00625","brown","beau"
"BBA_00626","brown","beau"
"BBA_00627","brown","beau"
"BBA_00630","brown","beau"
"BBA_00631","brown","beau"
"BBA_00632","brown","beau"
"BBA_00635","brown","beau"
"BBA_00636","brown","beau"
"BBA_00637","brown","beau"
"BBA_00640","brown","beau"
"BBA_00644","brown","beau"
"BBA_00646","brown","beau"
"BBA_00647","brown","beau"
"BBA_00653","brown","beau"
"BBA_00654","brown","beau"
"BBA_00656","brown","beau"
"BBA_00658","brown","beau"
"BBA_00662","brown","beau"
"BBA_00667","brown","beau"
"BBA_00672","brown","beau"
"BBA_00676","brown","beau"
"BBA_00678","brown","beau"
"BBA_00680","brown","beau"
"BBA_00693","brown","beau"
"BBA_00700","brown","beau"
"BBA_00714","brown","beau"
"BBA_00716","brown","beau"
"BBA_00720","brown","beau"
"BBA_00721","brown","beau"
"BBA_00729","brown","beau"
"BBA_00730","brown","beau"
"BBA_00731","brown","beau"
"BBA_00732","brown","beau"
"BBA_00734","brown","beau"
"BBA_00735","brown","beau"
"BBA_00740","brown","beau"
"BBA_00741","brown","beau"
"BBA_00743","brown","beau"
"BBA_00749","brown","beau"
"BBA_00750","brown","beau"
"BBA_00751","brown","beau"
"BBA_00752","brown","beau"
"BBA_00753","brown","beau"
"BBA_00754","brown","beau"
"BBA_00755","brown","beau"
"BBA_00757","brown","beau"
"BBA_00760","brown","beau"
"BBA_00767","brown","beau"
"BBA_00770","brown","beau"
"BBA_00773","brown","beau"
"BBA_00774","brown","beau"
"BBA_00777","brown","beau"
"BBA_00778","brown","beau"
"BBA_00779","brown","beau"
"BBA_00780","brown","beau"
"BBA_00781","brown","beau"
"BBA_00782","brown","beau"
"BBA_00783","brown","beau"
"BBA_00786","brown","beau"
"BBA_00787","brown","beau"
"BBA_00788","brown","beau"
"BBA_00790","brown","beau"
"BBA_00792","brown","beau"
"BBA_00793","brown","beau"
"BBA_00794","brown","beau"
"BBA_00800","brown","beau"
"BBA_00801","brown","beau"
"BBA_00803","brown","beau"
"BBA_00804","brown","beau"
"BBA_00805","brown","beau"
"BBA_00806","brown","beau"
"BBA_00808","brown","beau"
"BBA_00810","brown","beau"
"BBA_00814","brown","beau"
"BBA_00815","brown","beau"
"BBA_00821","brown","beau"
"BBA_00822","brown","beau"
"BBA_00824","brown","beau"
"BBA_00825","brown","beau"
"BBA_00828","brown","beau"
"BBA_00829","brown","beau"
"BBA_00830","brown","beau"
"BBA_00831","brown","beau"
"BBA_00833","brown","beau"
"BBA_00834","brown","beau"
"BBA_00835","brown","beau"
"BBA_00836","brown","beau"
"BBA_00837","brown","beau"
"BBA_00838","brown","beau"
"BBA_00839","brown","beau"
"BBA_00841","brown","beau"
"BBA_00842","brown","beau"
"BBA_00844","brown","beau"
"BBA_00845","brown","beau"
"BBA_00847","brown","beau"
"BBA_00848","brown","beau"
"BBA_00849","brown","beau"
"BBA_00851","brown","beau"
"BBA_00852","brown","beau"
"BBA_00853","brown","beau"
"BBA_00855","brown","beau"
"BBA_00857","brown","beau"
"BBA_00858","brown","beau"
"BBA_00859","brown","beau"
"BBA_00861","brown","beau"
"BBA_00863","brown","beau"
"BBA_00864","brown","beau"
"BBA_00865","brown","beau"
"BBA_00867","brown","beau"
"BBA_00868","brown","beau"
"BBA_00869","brown","beau"
"BBA_00875","brown","beau"
"BBA_00879","brown","beau"
"BBA_00880","brown","beau"
"BBA_00881","brown","beau"
"BBA_00886","brown","beau"
"BBA_00887","brown","beau"
"BBA_00891","brown","beau"
"BBA_00892","brown","beau"
"BBA_00894","brown","beau"
"BBA_00895","brown","beau"
"BBA_00896","brown","beau"
"BBA_00897","brown","beau"
"BBA_00898","brown","beau"
"BBA_00899","brown","beau"
"BBA_00906","brown","beau"
"BBA_00907","brown","beau"
"BBA_00911","brown","beau"
"BBA_00912","brown","beau"
"BBA_00913","brown","beau"
"BBA_00914","brown","beau"
"BBA_00916","brown","beau"
"BBA_00917","brown","beau"
"BBA_00921","brown","beau"
"BBA_00924","brown","beau"
"BBA_00925","brown","beau"
"BBA_00926","brown","beau"
"BBA_00927","brown","beau"
"BBA_00928","brown","beau"
"BBA_00930","brown","beau"
"BBA_00933","brown","beau"
"BBA_00934","brown","beau"
"BBA_00937","brown","beau"
"BBA_00939","brown","beau"
"BBA_00943","brown","beau"
"BBA_00946","brown","beau"
"BBA_00950","brown","beau"
"BBA_00953","brown","beau"
"BBA_00956","brown","beau"
"BBA_00961","brown","beau"
"BBA_00962","brown","beau"
"BBA_00963","brown","beau"
"BBA_00969","brown","beau"
"BBA_00970","brown","beau"
"BBA_00971","brown","beau"
"BBA_00974","brown","beau"
"BBA_00977","brown","beau"
"BBA_00978","brown","beau"
"BBA_00979","brown","beau"
"BBA_00980","brown","beau"
"BBA_00982","brown","beau"
"BBA_00983","brown","beau"
"BBA_00984","brown","beau"
"BBA_00985","brown","beau"
"BBA_00986","brown","beau"
"BBA_00987","brown","beau"
"BBA_00990","brown","beau"
"BBA_00991","brown","beau"
"BBA_00993","brown","beau"
"BBA_00995","brown","beau"
"BBA_00996","brown","beau"
"BBA_00997","brown","beau"
"BBA_01001","brown","beau"
"BBA_01004","brown","beau"
"BBA_01005","brown","beau"
"BBA_01007","brown","beau"
"BBA_01008","brown","beau"
"BBA_01010","brown","beau"
"BBA_01012","brown","beau"
"BBA_01013","brown","beau"
"BBA_01017","brown","beau"
"BBA_01018","brown","beau"
"BBA_01019","brown","beau"
"BBA_01022","brown","beau"
"BBA_01023","brown","beau"
"BBA_01025","brown","beau"
"BBA_01031","brown","beau"
"BBA_01032","brown","beau"
"BBA_01037","brown","beau"
"BBA_01038","brown","beau"
"BBA_01041","brown","beau"
"BBA_01043","brown","beau"
"BBA_01045","brown","beau"
"BBA_01046","brown","beau"
"BBA_01047","brown","beau"
"BBA_01049","brown","beau"
"BBA_01052","brown","beau"
"BBA_01056","brown","beau"
"BBA_01062","brown","beau"
"BBA_01063","brown","beau"
"BBA_01064","brown","beau"
"BBA_01065","brown","beau"
"BBA_01068","brown","beau"
"BBA_01070","brown","beau"
"BBA_01071","brown","beau"
"BBA_01073","brown","beau"
"BBA_01074","brown","beau"
"BBA_01076","brown","beau"
"BBA_01078","brown","beau"
"BBA_01081","brown","beau"
"BBA_01082","brown","beau"
"BBA_01085","brown","beau"
"BBA_01086","brown","beau"
"BBA_01088","brown","beau"
"BBA_01089","brown","beau"
"BBA_01095","brown","beau"
"BBA_01103","brown","beau"
"BBA_01104","brown","beau"
"BBA_01105","brown","beau"
"BBA_01108","brown","beau"
"BBA_01110","brown","beau"
"BBA_01114","brown","beau"
"BBA_01116","brown","beau"
"BBA_01117","brown","beau"
"BBA_01121","brown","beau"
"BBA_01122","brown","beau"
"BBA_01126","brown","beau"
"BBA_01127","brown","beau"
"BBA_01129","brown","beau"
"BBA_01132","brown","beau"
"BBA_01133","brown","beau"
"BBA_01138","brown","beau"
"BBA_01140","brown","beau"
"BBA_01141","brown","beau"
"BBA_01143","brown","beau"
"BBA_01145","brown","beau"
"BBA_01146","brown","beau"
"BBA_01147","brown","beau"
"BBA_01148","brown","beau"
"BBA_01153","brown","beau"
"BBA_01154","brown","beau"
"BBA_01161","brown","beau"
"BBA_01163","brown","beau"
"BBA_01164","brown","beau"
"BBA_01166","brown","beau"
"BBA_01167","brown","beau"
"BBA_01168","brown","beau"
"BBA_01169","brown","beau"
"BBA_01174","brown","beau"
"BBA_01178","brown","beau"
"BBA_01179","brown","beau"
"BBA_01180","brown","beau"
"BBA_01185","brown","beau"
"BBA_01186","brown","beau"
"BBA_01188","brown","beau"
"BBA_01190","brown","beau"
"BBA_01191","brown","beau"
"BBA_01197","brown","beau"
"BBA_01198","brown","beau"
"BBA_01199","brown","beau"
"BBA_01201","brown","beau"
"BBA_01204","brown","beau"
"BBA_01209","brown","beau"
"BBA_01211","brown","beau"
"BBA_01212","brown","beau"
"BBA_01214","brown","beau"
"BBA_01217","brown","beau"
"BBA_01218","brown","beau"
"BBA_01221","brown","beau"
"BBA_01222","brown","beau"
"BBA_01227","brown","beau"
"BBA_01230","brown","beau"
"BBA_01233","brown","beau"
"BBA_01234","brown","beau"
"BBA_01237","brown","beau"
"BBA_01238","brown","beau"
"BBA_01239","brown","beau"
"BBA_01240","brown","beau"
"BBA_01244","brown","beau"
"BBA_01245","brown","beau"
"BBA_01248","brown","beau"
"BBA_01249","brown","beau"
"BBA_01250","brown","beau"
"BBA_01251","brown","beau"
"BBA_01252","brown","beau"
"BBA_01253","brown","beau"
"BBA_01257","brown","beau"
"BBA_01258","brown","beau"
"BBA_01261","brown","beau"
"BBA_01265","brown","beau"
"BBA_01266","brown","beau"
"BBA_01267","brown","beau"
"BBA_01269","brown","beau"
"BBA_01281","brown","beau"
"BBA_01283","brown","beau"
"BBA_01284","brown","beau"
"BBA_01285","brown","beau"
"BBA_01286","brown","beau"
"BBA_01287","brown","beau"
"BBA_01294","brown","beau"
"BBA_01295","brown","beau"
"BBA_01298","brown","beau"
"BBA_01308","brown","beau"
"BBA_01309","brown","beau"
"BBA_01310","brown","beau"
"BBA_01312","brown","beau"
"BBA_01314","brown","beau"
"BBA_01316","brown","beau"
"BBA_01318","brown","beau"
"BBA_01319","brown","beau"
"BBA_01320","brown","beau"
"BBA_01321","brown","beau"
"BBA_01323","brown","beau"
"BBA_01328","brown","beau"
"BBA_01333","brown","beau"
"BBA_01334","brown","beau"
"BBA_01338","brown","beau"
"BBA_01339","brown","beau"
"BBA_01340","brown","beau"
"BBA_01341","brown","beau"
"BBA_01342","brown","beau"
"BBA_01349","brown","beau"
"BBA_01353","brown","beau"
"BBA_01359","brown","beau"
"BBA_01360","brown","beau"
"BBA_01363","brown","beau"
"BBA_01364","brown","beau"
"BBA_01366","brown","beau"
"BBA_01367","brown","beau"
"BBA_01370","brown","beau"
"BBA_01380","brown","beau"
"BBA_01392","brown","beau"
"BBA_01395","brown","beau"
"BBA_01396","brown","beau"
