"gene_name","module_identity","GCN"
"GQ602_000899","brown","ophio_cflo"
"GQ602_000904","brown","ophio_cflo"
"GQ602_000908","brown","ophio_cflo"
"GQ602_000914","brown","ophio_cflo"
"GQ602_000915","brown","ophio_cflo"
"GQ602_000920","brown","ophio_cflo"
"GQ602_000921","brown","ophio_cflo"
"GQ602_000932","brown","ophio_cflo"
"GQ602_000933","brown","ophio_cflo"
"GQ602_000941","brown","ophio_cflo"
"GQ602_000944","brown","ophio_cflo"
"GQ602_000948","brown","ophio_cflo"
"GQ602_000957","brown","ophio_cflo"
"GQ602_000962","brown","ophio_cflo"
"GQ602_000964","brown","ophio_cflo"
"GQ602_000968","brown","ophio_cflo"
"GQ602_000976","brown","ophio_cflo"
"GQ602_000977","brown","ophio_cflo"
"GQ602_000979","brown","ophio_cflo"
"GQ602_000983","brown","ophio_cflo"
"GQ602_000985","brown","ophio_cflo"
"GQ602_000987","brown","ophio_cflo"
"GQ602_001001","brown","ophio_cflo"
"GQ602_001007","brown","ophio_cflo"
"GQ602_001017","brown","ophio_cflo"
"GQ602_001026","brown","ophio_cflo"
"GQ602_001033","brown","ophio_cflo"
"GQ602_001037","brown","ophio_cflo"
"GQ602_001046","brown","ophio_cflo"
"GQ602_001048","brown","ophio_cflo"
"GQ602_001050","brown","ophio_cflo"
"GQ602_001051","brown","ophio_cflo"
"GQ602_001052","brown","ophio_cflo"
"GQ602_001066","brown","ophio_cflo"
"GQ602_001074","brown","ophio_cflo"
"GQ602_001081","brown","ophio_cflo"
"GQ602_001085","brown","ophio_cflo"
"GQ602_001091","brown","ophio_cflo"
"GQ602_001093","brown","ophio_cflo"
"GQ602_001103","brown","ophio_cflo"
"GQ602_001108","brown","ophio_cflo"
"GQ602_001115","brown","ophio_cflo"
"GQ602_001117","brown","ophio_cflo"
"GQ602_001118","brown","ophio_cflo"
"GQ602_001121","brown","ophio_cflo"
"GQ602_001128","brown","ophio_cflo"
"GQ602_001129","brown","ophio_cflo"
"GQ602_001143","brown","ophio_cflo"
"GQ602_001146","brown","ophio_cflo"
"GQ602_001147","brown","ophio_cflo"
"GQ602_001155","brown","ophio_cflo"
"GQ602_001189","brown","ophio_cflo"
"GQ602_001192","brown","ophio_cflo"
"GQ602_001203","brown","ophio_cflo"
"GQ602_001217","brown","ophio_cflo"
"GQ602_001223","brown","ophio_cflo"
"GQ602_001228","brown","ophio_cflo"
"GQ602_001229","brown","ophio_cflo"
"GQ602_001235","brown","ophio_cflo"
"GQ602_001248","brown","ophio_cflo"
"GQ602_001250","brown","ophio_cflo"
"GQ602_001253","brown","ophio_cflo"
"GQ602_001262","brown","ophio_cflo"
"GQ602_001263","brown","ophio_cflo"
"GQ602_001264","brown","ophio_cflo"
"GQ602_001267","brown","ophio_cflo"
"GQ602_001282","brown","ophio_cflo"
"GQ602_001286","brown","ophio_cflo"
"GQ602_001289","brown","ophio_cflo"
"GQ602_001292","brown","ophio_cflo"
"GQ602_001300","brown","ophio_cflo"
"GQ602_001303","brown","ophio_cflo"
"GQ602_001314","brown","ophio_cflo"
"GQ602_001319","brown","ophio_cflo"
"GQ602_001325","brown","ophio_cflo"
"GQ602_001326","brown","ophio_cflo"
"GQ602_001338","brown","ophio_cflo"
"GQ602_001339","brown","ophio_cflo"
"GQ602_001349","brown","ophio_cflo"
"GQ602_001352","brown","ophio_cflo"
"GQ602_001354","brown","ophio_cflo"
"GQ602_001356","brown","ophio_cflo"
"GQ602_001358","brown","ophio_cflo"
"GQ602_001363","brown","ophio_cflo"
"GQ602_001366","brown","ophio_cflo"
"GQ602_001370","brown","ophio_cflo"
"GQ602_001383","brown","ophio_cflo"
"GQ602_001393","brown","ophio_cflo"
"GQ602_001396","brown","ophio_cflo"
"GQ602_001420","brown","ophio_cflo"
"GQ602_001424","brown","ophio_cflo"
"GQ602_001430","brown","ophio_cflo"
"GQ602_001434","brown","ophio_cflo"
"GQ602_001452","brown","ophio_cflo"
"GQ602_001468","brown","ophio_cflo"
"GQ602_001470","brown","ophio_cflo"
"GQ602_001473","brown","ophio_cflo"
"GQ602_001477","brown","ophio_cflo"
"GQ602_001487","brown","ophio_cflo"
"GQ602_001488","brown","ophio_cflo"
"GQ602_001496","brown","ophio_cflo"
"GQ602_001498","brown","ophio_cflo"
"GQ602_001501","brown","ophio_cflo"
"GQ602_001518","brown","ophio_cflo"
"GQ602_001525","brown","ophio_cflo"
"GQ602_001536","brown","ophio_cflo"
"GQ602_001539","brown","ophio_cflo"
"GQ602_001543","brown","ophio_cflo"
"GQ602_001558","brown","ophio_cflo"
"GQ602_001567","brown","ophio_cflo"
"GQ602_001590","brown","ophio_cflo"
"GQ602_001609","brown","ophio_cflo"
"GQ602_001610","brown","ophio_cflo"
"GQ602_001619","brown","ophio_cflo"
"GQ602_001625","brown","ophio_cflo"
"GQ602_001630","brown","ophio_cflo"
"GQ602_001636","brown","ophio_cflo"
"GQ602_001637","brown","ophio_cflo"
"GQ602_001642","brown","ophio_cflo"
"GQ602_001643","brown","ophio_cflo"
"GQ602_001651","brown","ophio_cflo"
"GQ602_001652","brown","ophio_cflo"
"GQ602_001658","brown","ophio_cflo"
"GQ602_001663","brown","ophio_cflo"
"GQ602_001664","brown","ophio_cflo"
"GQ602_001667","brown","ophio_cflo"
"GQ602_001668","brown","ophio_cflo"
"GQ602_001669","brown","ophio_cflo"
"GQ602_001672","brown","ophio_cflo"
"GQ602_001675","brown","ophio_cflo"
"GQ602_001679","brown","ophio_cflo"
"GQ602_001683","brown","ophio_cflo"
"GQ602_001699","brown","ophio_cflo"
"GQ602_001717","brown","ophio_cflo"
"GQ602_001728","brown","ophio_cflo"
"GQ602_001743","brown","ophio_cflo"
"GQ602_001745","brown","ophio_cflo"
"GQ602_001748","brown","ophio_cflo"
"GQ602_001749","brown","ophio_cflo"
"GQ602_001750","brown","ophio_cflo"
"GQ602_001756","brown","ophio_cflo"
"GQ602_001769","brown","ophio_cflo"
"GQ602_001775","brown","ophio_cflo"
"GQ602_001794","brown","ophio_cflo"
"GQ602_001796","brown","ophio_cflo"
"GQ602_001804","brown","ophio_cflo"
"GQ602_001810","brown","ophio_cflo"
"GQ602_001812","brown","ophio_cflo"
"GQ602_001814","brown","ophio_cflo"
"GQ602_001815","brown","ophio_cflo"
"GQ602_001819","brown","ophio_cflo"
"GQ602_001823","brown","ophio_cflo"
"GQ602_001824","brown","ophio_cflo"
"GQ602_001825","brown","ophio_cflo"
"GQ602_001827","brown","ophio_cflo"
"GQ602_001828","brown","ophio_cflo"
"GQ602_001832","brown","ophio_cflo"
"GQ602_001834","brown","ophio_cflo"
"GQ602_001836","brown","ophio_cflo"
"GQ602_001837","brown","ophio_cflo"
"GQ602_001838","brown","ophio_cflo"
"GQ602_001839","brown","ophio_cflo"
"GQ602_001844","brown","ophio_cflo"
"GQ602_001861","brown","ophio_cflo"
"GQ602_001875","brown","ophio_cflo"
"GQ602_001878","brown","ophio_cflo"
"GQ602_001891","brown","ophio_cflo"
"GQ602_001892","brown","ophio_cflo"
"GQ602_001904","brown","ophio_cflo"
"GQ602_001915","brown","ophio_cflo"
"GQ602_001916","brown","ophio_cflo"
"GQ602_001930","brown","ophio_cflo"
"GQ602_001931","brown","ophio_cflo"
"GQ602_001932","brown","ophio_cflo"
"GQ602_001934","brown","ophio_cflo"
"GQ602_001935","brown","ophio_cflo"
"GQ602_001939","brown","ophio_cflo"
"GQ602_001947","brown","ophio_cflo"
"GQ602_001949","brown","ophio_cflo"
"GQ602_001958","brown","ophio_cflo"
"GQ602_001969","brown","ophio_cflo"
"GQ602_001970","brown","ophio_cflo"
"GQ602_001979","brown","ophio_cflo"
"GQ602_001981","brown","ophio_cflo"
"GQ602_001984","brown","ophio_cflo"
"GQ602_001995","brown","ophio_cflo"
"GQ602_002003","brown","ophio_cflo"
"GQ602_002005","brown","ophio_cflo"
"GQ602_002026","brown","ophio_cflo"
"GQ602_002027","brown","ophio_cflo"
"GQ602_002028","brown","ophio_cflo"
"GQ602_002031","brown","ophio_cflo"
"GQ602_002046","brown","ophio_cflo"
"GQ602_002048","brown","ophio_cflo"
"GQ602_002095","brown","ophio_cflo"
"GQ602_002103","brown","ophio_cflo"
"GQ602_002108","brown","ophio_cflo"
"GQ602_002118","brown","ophio_cflo"
"GQ602_002120","brown","ophio_cflo"
"GQ602_002121","brown","ophio_cflo"
"GQ602_002136","brown","ophio_cflo"
"GQ602_002160","brown","ophio_cflo"
"GQ602_002162","brown","ophio_cflo"
"GQ602_002169","brown","ophio_cflo"
"GQ602_002171","brown","ophio_cflo"
"GQ602_002186","brown","ophio_cflo"
"GQ602_002228","brown","ophio_cflo"
"GQ602_002232","brown","ophio_cflo"
"GQ602_002235","brown","ophio_cflo"
"GQ602_002246","brown","ophio_cflo"
"GQ602_002260","brown","ophio_cflo"
"GQ602_002275","brown","ophio_cflo"
"GQ602_002285","brown","ophio_cflo"
"GQ602_002288","brown","ophio_cflo"
"GQ602_002293","brown","ophio_cflo"
"GQ602_002297","brown","ophio_cflo"
"GQ602_002305","brown","ophio_cflo"
"GQ602_002311","brown","ophio_cflo"
"GQ602_002326","brown","ophio_cflo"
"GQ602_002341","brown","ophio_cflo"
"GQ602_002342","brown","ophio_cflo"
"GQ602_002345","brown","ophio_cflo"
"GQ602_002346","brown","ophio_cflo"
"GQ602_002348","brown","ophio_cflo"
"GQ602_002354","brown","ophio_cflo"
"GQ602_002362","brown","ophio_cflo"
"GQ602_002385","brown","ophio_cflo"
"GQ602_002410","brown","ophio_cflo"
"GQ602_002412","brown","ophio_cflo"
"GQ602_002418","brown","ophio_cflo"
"GQ602_002421","brown","ophio_cflo"
"GQ602_002422","brown","ophio_cflo"
"GQ602_002441","brown","ophio_cflo"
