"gene_name","ZT02A","ZT04A","ZT06A","ZT08A","ZT10A","ZT12A","ZT14A","ZT16A","ZT18A","ZT20A","ZT22A","ZT24A"
"BBA_06280",-1.19003063007195,-0.746000635290143,-0.0206765179637418,-1.52404708581997,0.130946083859264,0.329217281459127,0.786535651881754,0.207990142476981,-1.12342670056982,0.107251223849709,1.43300733340667,1.60923385278212
"BBA_06281",0.362693422165012,0.0654099457420166,-0.0730695507111893,1.26407693921545,0.971629512271732,1.81344785495502,-0.0273570287417159,-0.214958771284047,-0.408085978967522,-0.971681540382459,-1.37402466318258,-1.4080801410797
"BBA_06282",-1.60048028938027,-0.606229119163154,-0.433240464045174,0.0313394920323729,1.10196532431081,1.44360544857258,1.59504490828329,0.154116078551213,0.083914765430008,0.0482787750730025,-0.488730152691619,-1.32958476697312
"BBA_06283",0.746267200497089,0.132576863449374,-1.188180167429,-0.164084679805461,-0.451254804800881,-0.621088791234245,-0.565925168647386,-1.73367676907976,0.00893771945306303,0.953143360657053,1.38553959207456,1.49774564486559
"BBA_06284",-0.929640713525944,-0.0296069195407827,-1.09839304010525,1.03152979644516,2.39213124253769,0.254995079329536,0.652739400328964,-0.41759486608672,-0.702569303959343,-0.938535138065623,0.091250674958257,-0.306306212315935
"BBA_06285",-1.56283891726499,-1.07538615851851,-0.557160264114794,-0.924438528504956,0.658718870805428,0.599159719772812,0.740503021325435,0.0263216065765455,-0.934055909002947,0.208752932120901,1.39161667149477,1.42880695531029
"BBA_06286",-0.713948592453488,-1.08141591074874,-0.765562274638546,-1.27295041676856,1.15936223293523,-0.255240909449996,-0.47131838892985,0.102378829085098,-0.450051807806343,0.663238043181507,1.72960037421534,1.35590882137835
"BBA_06287",0.152602386450499,-1.18425446581614,-0.316300644159746,-1.47898036575556,1.13475990376398,-1.29416658886065,-0.569432631172863,0.115938251564413,0.168136308726818,0.645716953293881,1.52917836072,1.09680253124535
"BBA_06288",1.24429940153085,-0.151921543888106,0.506458887899423,-0.399088682000573,1.72306569269631,-0.8816554438948,-1.77385245250181,-0.664457876824581,-0.626762849873368,0.243759403158939,-0.288879695322983,1.0690351590207
"BBA_06289",-0.22690944868046,-0.0625759849319795,-0.683333178669532,-1.67079898350646,-1.42883911483686,0.865074663920969,-0.119789857770982,-0.349208748946593,0.276350632312242,0.449686463574196,1.22120329647687,1.72914026105862
"BBA_06290",-0.224414580445175,-0.368190300421962,2.57570081162401,0.763269998718144,-0.94384582514833,-0.361413579212179,-0.94384582514833,-0.243129283863545,0.368204769706489,-0.94384582514833,0.684077287859926,-0.362567648520721
