"GO","adj_pVal"
"GO:0008536",1.29153946381633e-05
"GO:0043167",6.88467399292329e-05
"GO:0051020",6.88467399292329e-05
"GO:0005488",0.00010807731418281
"GO:0017016",0.00010807731418281
"GO:0031267",0.00010807731418281
"GO:0050794",0.00010807731418281
"GO:0065007",0.000150620225405384
"GO:0050789",0.000150620225405384
"GO:0019899",0.000174071420086286
"GO:0035556",0.000174071420086286
"GO:0004672",0.00045174362426475
"GO:0007165",0.00045174362426475
"GO:0003674",0.000590047841835163
"GO:0043169",0.000590047841835163
"GO:0016773",0.000598624822730038
"GO:0046872",0.000751464612147887
"GO:0005634",0.000969028284525712
"GO:0016301",0.00104984019243709
"GO:0003700",0.00105030789421043
"GO:0006468",0.00301910175714596
"GO:0046914",0.0033474907158594
"GO:0043227",0.00335546936399303
"GO:0043231",0.00335546936399303
"GO:0140110",0.00335546936399303
"GO:0000981",0.00396566471665081
"GO:0005515",0.00396566471665081
"GO:0097159",0.00448180650905739
"GO:1901363",0.00448180650905739
"GO:0043168",0.00487214389879867
"GO:0006355",0.00535123763938211
"GO:0051252",0.00535123763938211
"GO:1903506",0.00535123763938211
"GO:2001141",0.00535123763938211
"GO:0071702",0.00535123763938211
"GO:0031323",0.00535123763938211
"GO:0051171",0.00548618887391177
"GO:0080090",0.00548618887391177
"GO:0019219",0.00557401073247391
"GO:0016772",0.00557401073247391
"GO:0016310",0.00557401073247391
"GO:0008270",0.00557401073247391
"GO:0009889",0.00557401073247391
"GO:0010556",0.00557401073247391
"GO:0031326",0.00557401073247391
"GO:2000112",0.00557401073247391
"GO:0019222",0.00575197342156039
"GO:0060255",0.00575197342156039
"GO:0003677",0.00575197342156039
"GO:0006793",0.00575197342156039
"GO:0006796",0.00575197342156039
"GO:0010468",0.00575197342156039
"GO:0006886",0.00648065777297033
"GO:0036094",0.00748023801634394
"GO:0046907",0.0079995415382464
"GO:0006351",0.0079995415382464
"GO:0097659",0.0079995415382464
"GO:0140096",0.0079995415382464
"GO:0000155",0.0079995415382464
"GO:0004673",0.0079995415382464
"GO:0016775",0.0079995415382464
"GO:0140299",0.0079995415382464
"GO:0051641",0.0079995415382464
"GO:0003824",0.0079995415382464
"GO:0051649",0.00871115497849593
"GO:0008144",0.00967235439836197
"GO:0071705",0.00986370307466311
"GO:0008150",0.00993750310164141
"GO:0000160",0.0126106135938288
"GO:0015031",0.0138060504473382
"GO:0015833",0.0138060504473382
"GO:0042886",0.0138060504473382
"GO:0006464",0.0142202927373211
"GO:0036211",0.0142202927373211
"GO:0000166",0.0150631290509715
"GO:1901265",0.0150631290509715
"GO:0045184",0.0150800902332526
"GO:0016787",0.0156989485843173
"GO:0032555",0.0200671174730575
"GO:0032559",0.0202942597368768
"GO:0017076",0.0202942597368768
"GO:0016829",0.0203833804465627
"GO:0030554",0.0203833804465627
"GO:0097367",0.0204933966510508
"GO:0008104",0.0204933966510508
"GO:0033036",0.0204933966510508
"GO:0032553",0.022020624284476
"GO:1902531",0.0239112378530654
"GO:0035639",0.0244288260434381
"GO:0032774",0.024528273394928
"GO:0005524",0.0252083116150044
"GO:0009072",0.025667664909754
"GO:0006810",0.0274573212060428
"GO:0051234",0.0277988846954487
"GO:0006811",0.0288761558464813
"GO:0044281",0.0335137756409794
"GO:0046873",0.0353738755763709
"GO:0051179",0.0359897680597626
"GO:0043412",0.0367355040481599
"GO:0015318",0.0367355040481599
"GO:0034654",0.0367355040481599
"GO:0005085",0.0367355040481599
"GO:0008081",0.0367355040481599
"GO:0009116",0.0367355040481599
"GO:0009966",0.0367355040481599
"GO:0010646",0.0367355040481599
"GO:0023051",0.0367355040481599
"GO:0048583",0.0367355040481599
"GO:1901657",0.0367355040481599
"GO:0018130",0.0458730466743868
"GO:0006812",0.0470775981512686
"GO:0015075",0.0470775981512686
"GO:0019752",0.0494439079999925
