ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
XA68_10000	cosine	24.0	20.0	16.0	-8.333333097650571e-11	0.9574271077008416	24.0	16.0	1.2848983790000001	-1.939586974	3.224485353	-0.6624597897510001	-1.5148348792500002	0.5402954672391693	0.007237331898277213	0.1085599784741582	0.1085599784741582	0.1085599784741582	0.386001166636801
XA68_10001	cosine	24.0	4.0	8.0	8.333331247278863e-11	0.9574271078002478	4.0	32.0	2.304983026	-1.237381499	3.542364525	-1.8627909241099998	-0.710133326836	0.6146497675999968	0.002703128848699784	0.04054693273049676	0.04054693273049676	0.04054693273049676	0.2827597467021298
XA68_10002	cosine	24.0	12.0	8.0	1.8503717077085938e-17	0.9574271077839972	16.0	28.0	2.089111902	-1.4622909309999998	3.551402833	-1.42865681357	-1.7311503685799998	0.17336275496410164	0.21634316011970334	3.24514740179555	0.972027972027972	0.9621633830735493	0.973198948757547
XA68_10003	cosine	24.0	4.0	8.0	-1.8503717077085938e-17	0.9574271078921222	4.0	48.0	2.312706256	-0.951937172	3.2646434280000003	-2.42947362917	-0.6722682273489999	0.2994447585743574	0.08767317792776053	1.3150976689164078	0.7532467532467533	0.743128447528167	0.8520213213398513
XA68_10005	cosine	24.0	0.0	4.0	-8.333334022836425e-11	0.9574271078419896	48.0	4.0	2.39008653	-0.425479951	2.8155664810000003	-5.61738931384	1.0	0.5587987562271125	0.005719324170972198	0.08578986256458297	0.08578986256458297	0.08578986256458297	0.3680546704450802
XA68_10007	cosine	24.0	16.0	12.0	-1.8503717077085938e-17	0.9574271078323008	20.0	12.0	1.296165469	-2.32478424	3.6209497089999996	-0.557542264223	-4.35671472466	0.3813850356982372	0.04216760441992458	0.6325140662988687	0.5094905094905094	0.49477300701383875	0.7024565281534729
XA68_10008	cosine	24.0	20.0	16.0	-5.551115123125783e-17	0.9574271077051476	44.0	28.0	1.61976247	-1.796821826	3.4165842960000004	-0.9014597032170001	-2.2742570303400003	0.3496029493900508	0.05679866795607516	0.8519800193411274	0.6033966033966034	0.5948523444843903	0.765003789823006
XA68_10009	cosine	24.0	16.0	8.0	-3.7007434154171876e-17	0.9574271078109864	16.0	24.0	1.379105179	-2.140918783	3.520023962	-0.644165107967	-2.94302249398	0.2636371929462336	0.11640217218244757	1.7460325827367138	0.8231768231768232	0.8231768231768232	0.8918626804472721
XA68_10010	cosine	24.0	16.0	0.0	8.33333170987179e-11	0.9574271078505948	16.0	24.0	1.499477713	-2.7399234619999997	4.239401175	-0.547269926987	-4.15274736858	0.4689790496105421	0.016897895516253127	0.2534684327437968	0.2534684327437968	0.2481707525557893	0.5388596027538631
XA68_10011	cosine	24.0	12.0	8.0	-9.251858538542969e-18	0.9574271078883816	36.0	8.0	1.941822276	-1.88939925	3.831221526	-1.02774587002	-1.3182342227	0.3624857603794853	0.05044712112711767	0.756706816906765	0.5724275724275725	0.5543540410332033	0.743647807223435
