ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
GQ602_000001	cosine	8.0	8.0	4.0	54.23729166666666	7.607620585138995	20.0	12.0	71.2664	44.9129	26.3535	1.58676905744	1.2112037009	0.033501260508640406	0.4397434849390244	0.8794869698780488	0.8794869698780488	0.8794869698780488	0.8970773239829558
GQ602_000002	cosine	8.0	4.0	0.0	66.713375	3.5452330457307983	20.0	6.0	74.5455	61.5947	12.9508	1.21025835015	1.04276490084	0.1315903389919538	0.27573794886251457	0.5514758977250291	0.5514758977250291	0.5514758977250291	0.8970773239829558
GQ602_000003	cosine	8.0	4.0	8.0	1512.2408333333335	160.43357444013677	2.0	20.0	1663.16	1065.66	597.5	1.5606853968399999	1.0775733301600001	0.13400504203456162	0.27209855448988	0.5441971089797599	0.5441971089797599	0.5441971089797599	0.8970773239829558
GQ602_000004	cosine	8.0	4.0	0.0	37.50868333333333	2.6004263995972314	20.0	16.0	41.9523	33.516	8.4363	1.25170963122	1.1156475007100002	0.5263613559678152	0.00860477540745387	0.01720955081490774	0.01720955081490774	0.01720955081490774	0.8970773239829558
GQ602_000005	cosine	8.0	4.0	8.0	79.20078333333333	10.194420544823632	12.0	20.0	104.585	68.8572	35.7278	1.5188680341299998	1.1573982394	0.13400504203456162	0.27209855448988	0.5441971089797599	0.5441971089797599	0.5441971089797599	0.8970773239829558
GQ602_000006	cosine	8.0	0.0	4.0	356.5355833333333	36.42177936450098	16.0	20.0	403.19	269.671	133.519	1.4951181254199999	1.14829590083	0.1315903389919538	0.27573794886251457	0.5514758977250291	0.5514758977250291	0.5514758977250291	0.8970773239829558
GQ602_000007	cosine	8.0	4.0	0.0	60.103625	4.5510697857985365	20.0	10.0	68.4611	51.7934	16.6677	1.32181127325	1.10297266702	0.3289758474798845	0.0682601490394303	0.1365202980788606	0.1365202980788606	0.1365202980788606	0.8970773239829558
GQ602_000008	cosine	8.0	0.0	4.0	317.34116666666665	56.12123976243061	12.0	20.0	463.29699999999997	240.003	223.294	1.93038003692	1.2221705655700001	0.03289758474798845	0.44082120393931895	0.8816424078786379	0.8816424078786379	0.8816424078786379	0.8970773239829558
GQ602_000009	cosine	8.0	8.0	4.0	5.2128375	0.9315701432896776	24.0	2.0	6.6775199999999995	3.48391	3.19361	1.9166740817099996	1.2438404143200001	0.3350126050864041	0.0647348936883515	0.129469787376703	0.129469787376703	0.129469787376703	0.8970773239829558
GQ602_000010	cosine	8.0	4.0	0.0	124.64316666666667	6.856297103555405	12.0	2.0	140.53	114.557	25.973000000000003	1.2267255602	1.07994324347	0.36187343222787294	0.05073562797633993	0.10147125595267986	0.10147125595267986	0.10147125595267986	0.8970773239829558
GQ602_000011	cosine	8.0	4.0	8.0	68.34615	5.0966489821744645	4.0	10.0	77.3831	57.3956	19.9875	1.34824098014	1.07694759505	0.23450882356048286	0.14426833538783368	0.28853667077566736	0.28853667077566736	0.28853667077566736	0.8970773239829558
GQ602_000012	cosine	8.0	0.0	4.0	1.5746759166666664	0.4732012253278123	12.0	2.0	2.78725	0.886541	1.900709	3.1439606290099995	1.36661629218	0.16448792373994225	0.2283059254926856	0.4566118509853712	0.4566118509853712	0.4566118509853712	0.8970773239829558
GQ602_000013	cosine	8.0	4.0	8.0	1.23459325	0.35526885715284345	20.0	22.0	1.9866599999999999	0.87297	1.11369	2.2757483075	1.51842025008	0.1005037815259212	0.3246054073583539	0.6492108147167078	0.6492108147167078	0.6492108147167078	0.8970773239829558
GQ602_000014	cosine	8.0	8.0	4.0	111.4746	12.016917553807216	22.0	4.0	131.91899999999998	95.3749	36.5441	1.3831626559999999	1.23762356702	0.06700252101728081	0.3808537850479568	0.7617075700959135	0.7617075700959135	0.7617075700959135	0.8970773239829558
GQ602_000015	cosine	8.0	4.0	0.0	158.31266666666667	20.075617717077147	12.0	6.0	206.90200000000002	127.93299999999999	78.969	1.61726841394	1.20714415816	0.09869275424396534	0.3275593850007441	0.6551187700014882	0.6551187700014882	0.6551187700014882	0.8970773239829558
GQ602_000016	cosine	8.0	8.0	4.0	3568.88	327.52007648386984	20.0	6.0	4397.57	3160.4	1237.17	1.39145994178	1.0963945776200001	0.0	0.5	1.0	1.0	0.9951877894826904	0.9951877894826904
GQ602_000017	cosine	8.0	4.0	8.0	1.7847875	1.382775794040891	4.0	10.0	4.26774	0.0	4.26774	-10000.0	3.06367293429	0.08572408331227332	0.349019475362942	0.698038950725884	0.698038950725884	0.698038950725884	0.8970773239829558
GQ602_000018	cosine	8.0	4.0	0.0	59.55183333333334	5.788036807838121	20.0	2.0	69.4012	45.1066	24.2946	1.5386041067200003	1.1127569364299998	0.0657951694959769	0.3829374512297787	0.7658749024595575	0.7658749024595575	0.7658749024595575	0.8970773239829558
GQ602_000019	cosine	8.0	4.0	8.0	3.3103050000000005	1.1397087833996602	12.0	2.0	5.8573	1.7742	4.0831	3.30137526773	1.6060721763799999	0.3685138655950445	0.04767616394306396	0.09535232788612792	0.09535232788612792	0.09535232788612792	0.8970773239829558
GQ602_000021	cosine	8.0	8.0	4.0	0.5424405	0.16411474139785048	12.0	20.0	0.83562	0.35135700000000003	0.484263	2.37826484174	1.6445186383500001	0.033501260508640406	0.4397434849390244	0.8794869698780488	0.8794869698780488	0.8794869698780488	0.8970773239829558
GQ602_000022	cosine	8.0	4.0	0.0	12.622425	1.3216185103406353	18.0	6.0	15.5491	10.6761	4.873	1.4564400858000002	1.14643351684	0.09869275424396534	0.3275593850007441	0.6551187700014882	0.6551187700014882	0.6551187700014882	0.8970773239829558
GQ602_000023	cosine	8.0	4.0	8.0	30.17636666666667	2.5171855425366547	6.0	2.0	33.9567	24.8933	9.0634	1.36408993585	1.13015512675	0.30151134457776363	0.08619310660327584	0.17238621320655168	0.17238621320655168	0.17238621320655168	0.8970773239829558
GQ602_000024	cosine	8.0	0.0	4.0	52.76506666666666	9.856025876955792	2.0	20.0	67.7146	37.751999999999995	29.9626	1.79366920958	1.3256945229700001	0.42766860172384985	0.026462188845548733	0.052924377691097466	0.052924377691097466	0.052924377691097466	0.8970773239829558
GQ602_000025	cosine	8.0	0.0	4.0	25.182575	3.924385124900673	16.0	10.0	31.1843	16.8993	14.285	1.84530128467	1.2182055391600002	0.296078262731896	0.0901247100752523	0.1802494201505046	0.1802494201505046	0.1802494201505046	0.8970773239829558
GQ602_000026	cosine	8.0	4.0	8.0	22.936075	1.6617327849391637	14.0	8.0	25.5237	19.7294	5.7943	1.29368860685	1.06991729307	0.2010075630518424	0.1814857225539041	0.3629714451078082	0.3629714451078082	0.3629714451078082	0.8970773239829558
GQ602_000027	cosine	8.0	4.0	8.0	8.915361666666668	1.4975309777587982	12.0	16.0	12.8791	6.50409	6.37501	1.98015402616	1.189943271	0.23450882356048286	0.14426833538783368	0.28853667077566736	0.28853667077566736	0.28853667077566736	0.8970773239829558
GQ602_000028	cosine	8.0	4.0	0.0	43.909575	4.6578719406192715	20.0	8.0	51.7063	35.4326	16.2737	1.45928608118	1.16257141365	0.42766860172384985	0.026462188845548733	0.052924377691097466	0.052924377691097466	0.052924377691097466	0.8970773239829558
GQ602_000029	cosine	8.0	4.0	8.0	9.06431916666667	2.0627371000948327	6.0	18.0	11.8214	6.502999999999999	5.3184	1.81783792096	1.57751644167	0.16750630254320206	0.2241961514587336	0.4483923029174671	0.4483923029174671	0.4483923029174671	0.8970773239829558
GQ602_000030	cosine	8.0	4.0	0.0	15.944549999999998	4.444662786702722	24.0	2.0	28.2102	11.6122	16.598	2.42935877784	1.39423203005	0.0657951694959769	0.3829374512297787	0.7658749024595575	0.7658749024595575	0.7658749024595575	0.8970773239829558
GQ602_000031	cosine	8.0	4.0	0.0	43.54569166666667	4.176588198808995	24.0	8.0	50.0619	35.3289	14.732999999999999	1.41702402283	1.17703074999	0.03289758474798845	0.44082120393931895	0.8816424078786379	0.8816424078786379	0.8816424078786379	0.8970773239829558
GQ602_000032	cosine	8.0	4.0	8.0	142.55366666666666	7.461829448749293	10.0	24.0	153.225	128.639	24.586	1.19112399817	1.04689418639	0.2010075630518424	0.1814857225539041	0.3629714451078082	0.3629714451078082	0.3629714451078082	0.8970773239829558
GQ602_000033	cosine	8.0	0.0	4.0	18.145616666666665	3.0566636031882144	2.0	22.0	23.3337	13.5024	9.8313	1.72811500178	1.34970630961	0.16448792373994225	0.2283059254926856	0.4566118509853712	0.4566118509853712	0.4566118509853712	0.8970773239829558
GQ602_000034	cosine	8.0	4.0	8.0	38.748925	2.350789500049222	6.0	16.0	43.878	35.3165	8.5615	1.24242209732	1.09826311919	0.3350126050864041	0.0647348936883515	0.129469787376703	0.129469787376703	0.129469787376703	0.8970773239829558
GQ602_000035	cosine	8.0	8.0	4.0	42.565725	6.257911231010578	18.0	10.0	51.2733	33.3941	17.8792	1.53539996586	1.31213008668	0.2010075630518424	0.1814857225539041	0.3629714451078082	0.3629714451078082	0.3629714451078082	0.8970773239829558
GQ602_000036	cosine	8.0	4.0	0.0	1.8260030833333332	0.538138751252478	2.0	10.0	3.0297	0.9503469999999999	2.079353	3.18799343819	1.45292088058	0.36187343222787294	0.05073562797633993	0.10147125595267986	0.10147125595267986	0.10147125595267986	0.8970773239829558
