gene_ID_ncbi,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24
BBA_02709,24.0866,31.1654,18.9342,28.7252,21.271,22.4184,26.5118,17.9965,26.3136,23.5855,19.8352,17.2419
BBA_02710,51.6247,54.6079,56.7922,49.848,46.6117,64.2346,57.5568,57.4821,53.0609,56.6595,54.3273,63.2171
BBA_02711,1.21246,0.481331,0.4486,0.793201,1.42846,1.46925,0.617748,0.889933,0.589005,0.731501,0.757376,0.484091
BBA_02712,162.751,169.886,147.631,285.177,224.423,380.829,192.845,214.288,143.378,110.02,84.336,86.661
BBA_02713,89.9762,73.1973,58.9913,123.452,73.7245,95.8836,64.9887,64.2315,68.8841,52.663,42.3411,31.8423
BBA_02714,32.2709,28.1106,30.7593,21.7477,33.1771,33.2725,31.4736,34.2432,33.8052,37.5055,40.9959,37.7548
BBA_02715,31.0924,20.5522,22.8896,19.7586,31.2962,33.5224,18.9233,20.633,21.8114,23.4265,26.6869,36.768
BBA_02716,9.88255,6.20993,8.21566,8.38285,14.0183,9.4138,14.2559,8.01055,5.2774,9.16005,12.9882,10.655
BBA_02717,248.449,252.602,236.586,257.731,264.696,246.47,235.538,229.358,213.491,219.946,246.325,236.621
BBA_02718,40.8722,39.6921,36.8151,49.0209,37.1068,45.0632,36.9008,35.257,35.3628,29.2455,27.8595,26.2327
BBA_02719,77.1465,107.642,83.9891,116.372,107.129,102.079,80.4469,84.4176,76.6882,55.1135,47.1747,82.533
BBA_02720,168.701,165.141,167.627,189.548,199.263,189.626,161.37,155.06,144.685,145.943,166.073,161.921
BBA_02721,78.7931,63.6571,57.0604,74.4827,47.2688,64.1254,56.9299,60.5903,60.8367,52.072,51.7643,44.8742
BBA_02722,1.38215,1.73822,1.28779,1.64293,2.00878,0.870996,2.58055,1.52299,1.50799,1.85267,2.12625,2.59669
BBA_02723,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02724,14.382,15.0278,13.0533,16.1113,19.6474,17.392,14.1441,19.1806,16.067,14.7193,14.4026,17.0647
BBA_02725,65.0487,43.5767,26.8449,51.5362,23.2494,33.0207,33.4835,36.4917,32.1504,32.5677,36.4647,31.6659
BBA_02726,2.38195,4.65352,3.45886,5.09541,7.97705,8.22392,6.95905,11.2772,5.63096,0,12.2145,4.63091
BBA_02727,0.226404,0,0.161737,0.586078,0.325667,0.174526,0.219027,0.213296,0.427637,0.338505,0,0.337158
BBA_02728,1.58453,2.76899,2.33076,1.68588,3.48447,2.06045,1.62243,2.82096,2.51099,2.80619,3.12281,2.9705
BBA_02729,2.75777,2.271,2.98786,2.76952,5.36626,2.73388,2.99207,1.96893,2.07985,2.98831,3.29825,4.53681
BBA_02730,29.4198,25.4058,29.5564,28.1678,30.2327,45.0578,28.7153,28.043,34.2174,31.4736,33.8527,30.3824
BBA_02731,85.4198,56.7027,64.4237,70.3956,59.1153,108.969,67.8445,63.0077,73.095,68.986,66.463,76.2015
BBA_02732,217.316,228.967,182.236,252.665,240.403,304.076,218.326,195.432,240.836,175.983,145.231,168.845
BBA_02733,17.7606,16.1946,16.7868,20.9756,21.2225,24.3602,18.4412,17.853,16.8185,16.74,16.5583,18.0624
BBA_02734,2227.38,2237.92,3017.5,1967.06,2633.32,3730.63,2708.07,2992.08,2239.47,2930.05,3872.27,3846.18
BBA_02735,50.6565,58.4993,88.4221,59.5804,106.496,158.591,82.9794,89.8166,63.4642,100.507,152.679,143.365
BBA_02736,43.6566,69.9217,115.888,58.155,39.3169,128.124,64.4154,87.3757,68.4869,103.625,151.536,97.1492
BBA_02737,73.888,70.2743,89.1161,77.6915,92.1605,57.0692,87.8364,87.173,75.0402,89.0698,99.7863,96.6791
BBA_02738,19.9778,18.6933,20.6599,17.0665,18.0567,20.8025,21.5818,23.4789,23.1933,24.0139,22.114,22.0427
BBA_02739,0.649839,1.27596,1.16216,1.41171,0.718262,3.27563,2.24165,1.24321,0.613278,1.99971,1.02436,1.74011
BBA_02740,0,0,0.200492,0.235411,0.850688,0.435172,0.550086,0.261304,0,0.436887,0.226928,0.21797
BBA_02741,0.156511,0.121847,0.571021,0.134014,0.236914,0.24466,0.154535,0,0.147659,0,0,0
