"","gene","gene_ID_robin","cluster"
"1","GQ602_000001","Ophcf2|00001",1
"2","GQ602_000008","Ophcf2|00008",2
"3","GQ602_000014","Ophcf2|00014",1
"4","GQ602_000016","Ophcf2|00016",1
"5","GQ602_000017","Ophcf2|00017",3
"6","GQ602_000032","Ophcf2|00032",2
"7","GQ602_000039","Ophcf2|00039",1
"8","GQ602_000042","Ophcf2|00042",1
"9","GQ602_000043","Ophcf2|00043",1
"10","GQ602_000044","Ophcf2|00044",4
"11","GQ602_000047","Ophcf2|00047",1
"12","GQ602_000049","Ophcf2|00049",2
"13","GQ602_000051","Ophcf2|00051",3
"14","GQ602_000052","Ophcf2|00052",3
"15","GQ602_000053","Ophcf2|00053",3
"16","GQ602_000056","Ophcf2|00056",2
"17","GQ602_000057","Ophcf2|00057",1
"18","GQ602_000060","Ophcf2|00060",3
"19","GQ602_000062","Ophcf2|00062",1
"20","GQ602_000063","Ophcf2|00063",1
"21","GQ602_000065","Ophcf2|00065",4
"22","GQ602_000070","Ophcf2|00070",1
"23","GQ602_000075","Ophcf2|00075",1
"24","GQ602_000076","Ophcf2|00076",2
"25","GQ602_000077","Ophcf2|00077",3
"26","GQ602_000079","Ophcf2|00079",4
"27","GQ602_000080","Ophcf2|00080",4
"28","GQ602_000083","Ophcf2|00083",4
"29","GQ602_000085","Ophcf2|00085",4
"30","GQ602_000090","Ophcf2|00090",1
"31","GQ602_000091","Ophcf2|00091",1
"32","GQ602_000096","Ophcf2|00096",4
"33","GQ602_000098","Ophcf2|00098",3
"34","GQ602_000103","Ophcf2|00103",1
"35","GQ602_000109","Ophcf2|00109",3
"36","GQ602_000112","Ophcf2|00112",1
"37","GQ602_000115","Ophcf2|00115",4
"38","GQ602_000116","Ophcf2|00116",1
"39","GQ602_000121","Ophcf2|00121",4
"40","GQ602_000122","Ophcf2|00122",3
"41","GQ602_000124","Ophcf2|00124",4
"42","GQ602_000125","Ophcf2|00125",4
"43","GQ602_000127","Ophcf2|00127",2
"44","GQ602_000129","Ophcf2|00129",3
"45","GQ602_000131","Ophcf2|00131",4
"46","GQ602_000134","Ophcf2|00134",3
"47","GQ602_000137","Ophcf2|00137",4
"48","GQ602_000144","Ophcf2|00144",2
"49","GQ602_000146","Ophcf2|00146",1
"50","GQ602_000147","Ophcf2|00147",1
"51","GQ602_000153","Ophcf2|00153",1
"52","GQ602_000154","Ophcf2|00154",1
"53","GQ602_000160","Ophcf2|00160",1
"54","GQ602_000162","Ophcf2|00162",4
"55","GQ602_000171","Ophcf2|00171",3
"56","GQ602_000172","Ophcf2|00172",1
"57","GQ602_000179","Ophcf2|00179",3
"58","GQ602_000183","Ophcf2|00183",1
"59","GQ602_000184","Ophcf2|00184",3
"60","GQ602_000197","Ophcf2|00197",4
"61","GQ602_000198","Ophcf2|00198",1
"62","GQ602_000200","Ophcf2|00200",1
"63","GQ602_000201","Ophcf2|00201",4
"64","GQ602_000208","Ophcf2|00208",4
"65","GQ602_000210","Ophcf2|00210",2
"66","GQ602_000212","Ophcf2|00212",1
"67","GQ602_000215","Ophcf2|00215",1
"68","GQ602_000216","Ophcf2|00216",3
"69","GQ602_000220","Ophcf2|00220",1
"70","GQ602_000221","Ophcf2|00221",4
"71","GQ602_000225","Ophcf2|00225",4
"72","GQ602_000227","Ophcf2|00227",4
"73","GQ602_000228","Ophcf2|00228",4
"74","GQ602_000229","Ophcf2|00229",2
"75","GQ602_000230","Ophcf2|00230",4
"76","GQ602_000242","Ophcf2|00242",3
"77","GQ602_000244","Ophcf2|00244",1
"78","GQ602_000247","Ophcf2|00247",1
"79","GQ602_000250","Ophcf2|00250",1
"80","GQ602_000251","Ophcf2|00251",1
"81","GQ602_000253","Ophcf2|00253",4
"82","GQ602_000255","Ophcf2|00255",4
"83","GQ602_000258","Ophcf2|00258",1
"84","GQ602_000261","Ophcf2|00261",1
"85","GQ602_000262","Ophcf2|00262",4
"86","GQ602_000266","Ophcf2|00266",1
"87","GQ602_000268","Ophcf2|00268",3
"88","GQ602_000270","Ophcf2|00270",2
"89","GQ602_000274","Ophcf2|00274",4
"90","GQ602_000281","Ophcf2|00281",3
"91","GQ602_000283","Ophcf2|00283",1
"92","GQ602_000284","Ophcf2|00284",3
"93","GQ602_000290","Ophcf2|00290",1
"94","GQ602_000299","Ophcf2|00299",1
"95","GQ602_000300","Ophcf2|00300",1
"96","GQ602_000302","Ophcf2|00302",2
"97","GQ602_000304","Ophcf2|00304",3
"98","GQ602_000311","Ophcf2|00311",1
"99","GQ602_000317","Ophcf2|00317",4
"100","GQ602_000319","Ophcf2|00319",4
"101","GQ602_000323","Ophcf2|00323",3
