"","gene","gene_ID_robin","cluster"
"1","BBA_00005","Beaba1|5",1
"2","BBA_00007","Beaba1|7",2
"3","BBA_00032","Beaba1|32",3
"4","BBA_00037","Beaba1|37",3
"5","BBA_00041","Beaba1|41",1
"6","BBA_00049","Beaba1|49",2
"7","BBA_00050","Beaba1|50",1
"8","BBA_00054","Beaba1|54",3
"9","BBA_00055","Beaba1|55",3
"10","BBA_00064","Beaba1|64",3
"11","BBA_00071","Beaba1|71",1
"12","BBA_00091","Beaba1|91",2
"13","BBA_00097","Beaba1|97",3
"14","BBA_00118","Beaba1|118",3
"15","BBA_00125","Beaba1|125",1
"16","BBA_00129","Beaba1|129",4
"17","BBA_00130","Beaba1|130",2
"18","BBA_00135","Beaba1|135",2
"19","BBA_00138","Beaba1|138",2
"20","BBA_00144","Beaba1|144",2
"21","BBA_00146","Beaba1|146",1
"22","BBA_00154","Beaba1|154",2
"23","BBA_00159","Beaba1|159",1
"24","BBA_00162","Beaba1|162",2
"25","BBA_00165","Beaba1|165",1
"26","BBA_00167","Beaba1|167",1
"27","BBA_00168","Beaba1|168",1
"28","BBA_00171","Beaba1|171",1
"29","BBA_00172","Beaba1|172",3
"30","BBA_00175","Beaba1|175",4
"31","BBA_00178","Beaba1|178",1
"32","BBA_00191","Beaba1|191",2
"33","BBA_00209","Beaba1|209",1
"34","BBA_00211","Beaba1|211",4
"35","BBA_00221","Beaba1|221",2
"36","BBA_00228","Beaba1|228",2
"37","BBA_00234","Beaba1|234",1
"38","BBA_00237","Beaba1|237",1
"39","BBA_00238","Beaba1|238",1
"40","BBA_00244","Beaba1|244",3
"41","BBA_00249","Beaba1|249",1
"42","BBA_00250","Beaba1|250",3
"43","BBA_00259","Beaba1|259",1
"44","BBA_00261","Beaba1|261",2
"45","BBA_00263","Beaba1|263",4
"46","BBA_00269","Beaba1|269",2
"47","BBA_00270","Beaba1|270",2
"48","BBA_00272","Beaba1|272",4
"49","BBA_00277","Beaba1|277",1
"50","BBA_00289","Beaba1|289",1
"51","BBA_00293","Beaba1|293",2
"52","BBA_00301","Beaba1|301",4
"53","BBA_00308","Beaba1|308",4
"54","BBA_00312","Beaba1|312",2
"55","BBA_00313","Beaba1|313",2
"56","BBA_00317","Beaba1|317",2
"57","BBA_00320","Beaba1|320",1
"58","BBA_00328","Beaba1|328",1
"59","BBA_00329","Beaba1|329",1
"60","BBA_00330","Beaba1|330",3
"61","BBA_00337","Beaba1|337",4
"62","BBA_00340","Beaba1|340",2
"63","BBA_00346","Beaba1|346",4
"64","BBA_00350","Beaba1|350",2
"65","BBA_00379","Beaba1|379",4
"66","BBA_00381","Beaba1|381",1
"67","BBA_00383","Beaba1|383",2
"68","BBA_00384","Beaba1|384",4
"69","BBA_00387","Beaba1|387",3
"70","BBA_00390","Beaba1|390",1
"71","BBA_00393","Beaba1|393",3
"72","BBA_00407","Beaba1|407",3
"73","BBA_00412","Beaba1|412",2
"74","BBA_00418","Beaba1|418",1
"75","BBA_00441","Beaba1|441",1
"76","BBA_00442","Beaba1|442",1
"77","BBA_00443","Beaba1|443",1
"78","BBA_00446","Beaba1|446",3
"79","BBA_00450","Beaba1|450",1
"80","BBA_00451","Beaba1|451",1
"81","BBA_00452","Beaba1|452",2
"82","BBA_00455","Beaba1|455",1
"83","BBA_00468","Beaba1|468",2
"84","BBA_00472","Beaba1|472",4
"85","BBA_00473","Beaba1|473",1
"86","BBA_00476","Beaba1|476",1
"87","BBA_00477","Beaba1|477",3
"88","BBA_00482","Beaba1|482",2
"89","BBA_00489","Beaba1|489",2
"90","BBA_00492","Beaba1|492",2
"91","BBA_00494","Beaba1|494",2
"92","BBA_00497","Beaba1|497",1
"93","BBA_00503","Beaba1|503",2
"94","BBA_00516","Beaba1|516",3
"95","BBA_00527","Beaba1|527",2
"96","BBA_00539","Beaba1|539",3
"97","BBA_00545","Beaba1|545",2
"98","BBA_00547","Beaba1|547",2
"99","BBA_00548","Beaba1|548",1
"100","BBA_00549","Beaba1|549",1
"101","BBA_00556","Beaba1|556",3
"102","BBA_00560","Beaba1|560",2
"103","BBA_00561","Beaba1|561",1
"104","BBA_00565","Beaba1|565",1
"105","BBA_00567","Beaba1|567",2
"106","BBA_00568","Beaba1|568",1
"107","BBA_00577","Beaba1|577",1
"108","BBA_00586","Beaba1|586",1
"109","BBA_00590","Beaba1|590",2
"110","BBA_00601","Beaba1|601",3
"111","BBA_00602","Beaba1|602",1
"112","BBA_00604","Beaba1|604",2
"113","BBA_00607","Beaba1|607",2
"114","BBA_00629","Beaba1|629",2
"115","BBA_00639","Beaba1|639",2
"116","BBA_00642","Beaba1|642",3
"117","BBA_00645","Beaba1|645",1
"118","BBA_00649","Beaba1|649",2
"119","BBA_00650","Beaba1|650",2
"120","BBA_00651","Beaba1|651",2
"121","BBA_00653","Beaba1|653",3
"122","BBA_00662","Beaba1|662",1
"123","BBA_00664","Beaba1|664",2
"124","BBA_00678","Beaba1|678",1
"125","BBA_00680","Beaba1|680",1
"126","BBA_00687","Beaba1|687",4
"127","BBA_00701","Beaba1|701",2
"128","BBA_00718","Beaba1|718",4
"129","BBA_00719","Beaba1|719",3
"130","BBA_00722","Beaba1|722",2
"131","BBA_00724","Beaba1|724",2
"132","BBA_00725","Beaba1|725",4
"133","BBA_00733","Beaba1|733",3
"134","BBA_00735","Beaba1|735",1
"135","BBA_00742","Beaba1|742",3
"136","BBA_00756","Beaba1|756",3
"137","BBA_00760","Beaba1|760",1
"138","BBA_00764","Beaba1|764",3
"139","BBA_00771","Beaba1|771",1
"140","BBA_00776","Beaba1|776",3
"141","BBA_00779","Beaba1|779",1
"142","BBA_00780","Beaba1|780",1
"143","BBA_00781","Beaba1|781",1
"144","BBA_00785","Beaba1|785",3
"145","BBA_00790","Beaba1|790",1
"146","BBA_00792","Beaba1|792",1
"147","BBA_00793","Beaba1|793",1
"148","BBA_00803","Beaba1|803",1
"149","BBA_00806","Beaba1|806",1
"150","BBA_00812","Beaba1|812",4
"151","BBA_00829","Beaba1|829",1
"152","BBA_00845","Beaba1|845",1
"153","BBA_00852","Beaba1|852",2
"154","BBA_00857","Beaba1|857",3
"155","BBA_00863","Beaba1|863",1
"156","BBA_00875","Beaba1|875",1
"157","BBA_00882","Beaba1|882",2
"158","BBA_00889","Beaba1|889",1
"159","BBA_00891","Beaba1|891",1
"160","BBA_00893","Beaba1|893",2
"161","BBA_00901","Beaba1|901",2
"162","BBA_00904","Beaba1|904",1
"163","BBA_00911","Beaba1|911",1
"164","BBA_00917","Beaba1|917",1
"165","BBA_00922","Beaba1|922",3
"166","BBA_00924","Beaba1|924",1
"167","BBA_00933","Beaba1|933",1
"168","BBA_00934","Beaba1|934",1
"169","BBA_00935","Beaba1|935",3
"170","BBA_00938","Beaba1|938",2
"171","BBA_00944","Beaba1|944",2
"172","BBA_00945","Beaba1|945",2
"173","BBA_00946","Beaba1|946",1
"174","BBA_00954","Beaba1|954",4
"175","BBA_00955","Beaba1|955",3
"176","BBA_00962","Beaba1|962",1
"177","BBA_00969","Beaba1|969",1
"178","BBA_00971","Beaba1|971",1
"179","BBA_00986","Beaba1|986",1
"180","BBA_00987","Beaba1|987",1
"181","BBA_00994","Beaba1|994",1
"182","BBA_00997","Beaba1|997",1
"183","BBA_01002","Beaba1|1002",2
"184","BBA_01006","Beaba1|1006",4
"185","BBA_01022","Beaba1|1022",1
"186","BBA_01030","Beaba1|1030",3
"187","BBA_01038","Beaba1|1038",1
"188","BBA_01040","Beaba1|1040",2
"189","BBA_01041","Beaba1|1041",1
"190","BBA_01043","Beaba1|1043",1
"191","BBA_01044","Beaba1|1044",4
"192","BBA_01053","Beaba1|1053",2
"193","BBA_01059","Beaba1|1059",2
"194","BBA_01066","Beaba1|1066",2
"195","BBA_01068","Beaba1|1068",1
"196","BBA_01082","Beaba1|1082",1
"197","BBA_01083","Beaba1|1083",2
"198","BBA_01095","Beaba1|1095",1
"199","BBA_01106","Beaba1|1106",2
"200","BBA_01113","Beaba1|1113",4
"201","BBA_01116","Beaba1|1116",1
"202","BBA_01122","Beaba1|1122",1
"203","BBA_01123","Beaba1|1123",3
"204","BBA_01128","Beaba1|1128",3
"205","BBA_01146","Beaba1|1146",3
"206","BBA_01150","Beaba1|1150",2
"207","BBA_01152","Beaba1|1152",3
"208","BBA_01154","Beaba1|1154",1
"209","BBA_01157","Beaba1|1157",1
"210","BBA_01164","Beaba1|1164",1
"211","BBA_01173","Beaba1|1173",3
"212","BBA_01175","Beaba1|1175",2
"213","BBA_01176","Beaba1|1176",2
"214","BBA_01177","Beaba1|1177",2
"215","BBA_01185","Beaba1|1185",1
"216","BBA_01189","Beaba1|1189",1
"217","BBA_01192","Beaba1|1192",4
"218","BBA_01195","Beaba1|1195",1
"219","BBA_01200","Beaba1|1200",2
"220","BBA_01211","Beaba1|1211",1
"221","BBA_01214","Beaba1|1214",1
"222","BBA_01228","Beaba1|1228",2
"223","BBA_01230","Beaba1|1230",1
"224","BBA_01231","Beaba1|1231",4
"225","BBA_01233","Beaba1|1233",1
"226","BBA_01234","Beaba1|1234",1
"227","BBA_01237","Beaba1|1237",1
"228","BBA_01241","Beaba1|1241",3
"229","BBA_01248","Beaba1|1248",1
"230","BBA_01265","Beaba1|1265",1
"231","BBA_01269","Beaba1|1269",1
"232","BBA_01270","Beaba1|1270",2
"233","BBA_01273","Beaba1|1273",2
"234","BBA_01275","Beaba1|1275",2
"235","BBA_01278","Beaba1|1278",3
