"","gene","gene_ID_robin","cluster"
"297","BBA_09052","Beaba1|9052",4
"298","BBA_09076","Beaba1|9076",2
"299","BBA_09090","Beaba1|9090",4
"300","BBA_09116","Beaba1|9116",4
"301","BBA_09153","Beaba1|9153",2
"302","BBA_09165","Beaba1|9165",2
"303","BBA_09169","Beaba1|9169",4
"304","BBA_09182","Beaba1|9182",2
"305","BBA_09228","Beaba1|9228",1
"306","BBA_09268","Beaba1|9268",4
"307","BBA_09303","Beaba1|9303",4
"308","BBA_09346","Beaba1|9346",2
"309","BBA_09348","Beaba1|9348",1
"310","BBA_09373","Beaba1|9373",1
"311","BBA_09414","Beaba1|9414",4
"312","BBA_09475","Beaba1|9475",4
"313","BBA_09480","Beaba1|9480",4
"314","BBA_09511","Beaba1|9511",4
"315","BBA_09538","Beaba1|9538",4
"316","BBA_09571","Beaba1|9571",3
"317","BBA_09609","Beaba1|9609",4
"318","BBA_09683","Beaba1|9683",1
"319","BBA_09720","Beaba1|9720",1
"320","BBA_09835","Beaba1|9835",2
"321","BBA_09876","Beaba1|9876",1
"322","BBA_09904","Beaba1|9904",1
"323","BBA_09974","Beaba1|9974",1
"324","BBA_10086","Beaba1|10086",2
"325","BBA_10286","Beaba1|10286",4
"326","BBA_10301","Beaba1|10301",3
"327","BBA_10323","Beaba1|10323",1
