"","gene","gene_ID_robin","cluster"
"1","BBA_00033","Beaba1|33",1
"2","BBA_00057","Beaba1|57",2
"3","BBA_00090","Beaba1|90",1
"4","BBA_00107","Beaba1|107",3
"5","BBA_00128","Beaba1|128",4
"6","BBA_00163","Beaba1|163",1
"7","BBA_00164","Beaba1|164",1
"8","BBA_00173","Beaba1|173",2
"9","BBA_00224","Beaba1|224",1
"10","BBA_00242","Beaba1|242",2
"11","BBA_00268","Beaba1|268",2
"12","BBA_00271","Beaba1|271",2
"13","BBA_00276","Beaba1|276",3
"14","BBA_00405","Beaba1|405",2
"15","BBA_00426","Beaba1|426",1
"16","BBA_00431","Beaba1|431",1
"17","BBA_00459","Beaba1|459",1
"18","BBA_00495","Beaba1|495",4
"19","BBA_00553","Beaba1|553",4
"20","BBA_00630","Beaba1|630",1
"21","BBA_00637","Beaba1|637",4
"22","BBA_00672","Beaba1|672",4
"23","BBA_00706","Beaba1|706",2
"24","BBA_00716","Beaba1|716",1
"25","BBA_00737","Beaba1|737",1
"26","BBA_00795","Beaba1|795",1
"27","BBA_00826","Beaba1|826",4
"28","BBA_00839","Beaba1|839",4
"29","BBA_00848","Beaba1|848",1
"30","BBA_00857","Beaba1|857",1
"31","BBA_00858","Beaba1|858",1
"32","BBA_00883","Beaba1|883",1
"33","BBA_00897","Beaba1|897",1
"34","BBA_00919","Beaba1|919",2
"35","BBA_00950","Beaba1|950",1
"36","BBA_00982","Beaba1|982",1
"37","BBA_01020","Beaba1|1020",1
"38","BBA_01046","Beaba1|1046",1
"39","BBA_01085","Beaba1|1085",4
"40","BBA_01099","Beaba1|1099",3
"41","BBA_01117","Beaba1|1117",4
"42","BBA_01136","Beaba1|1136",2
"43","BBA_01167","Beaba1|1167",4
"44","BBA_01206","Beaba1|1206",1
"45","BBA_01208","Beaba1|1208",3
"46","BBA_01246","Beaba1|1246",3
"47","BBA_01260","Beaba1|1260",4
"48","BBA_01308","Beaba1|1308",4
"49","BBA_01309","Beaba1|1309",4
"50","BBA_01336","Beaba1|1336",3
"51","BBA_01393","Beaba1|1393",4
"52","BBA_01422","Beaba1|1422",4
"53","BBA_01436","Beaba1|1436",3
"54","BBA_01455","Beaba1|1455",4
"55","BBA_01462","Beaba1|1462",4
"56","BBA_01471","Beaba1|1471",1
"57","BBA_01484","Beaba1|1484",4
"58","BBA_01497","Beaba1|1497",2
"59","BBA_01520","Beaba1|1520",1
"60","BBA_01531","Beaba1|1531",4
"61","BBA_01556","Beaba1|1556",4
"62","BBA_01581","Beaba1|1581",3
"63","BBA_01625","Beaba1|1625",4
"64","BBA_01674","Beaba1|1674",3
"65","BBA_01677","Beaba1|1677",1
"66","BBA_01724","Beaba1|1724",3
"67","BBA_01736","Beaba1|1736",1
