"","gene","gene_ID_robin","cluster"
"1","GQ602_000010","Ophcf2|00010",1
"2","GQ602_000061","Ophcf2|00061",1
"3","GQ602_000073","Ophcf2|00073",2
"4","GQ602_000102","Ophcf2|00102",3
"5","GQ602_000119","Ophcf2|00119",1
"6","GQ602_000133","Ophcf2|00133",2
"7","GQ602_000141","Ophcf2|00141",2
"8","GQ602_000152","Ophcf2|00152",2
"9","GQ602_000158","Ophcf2|00158",2
"10","GQ602_000161","Ophcf2|00161",1
"11","GQ602_000182","Ophcf2|00182",4
"12","GQ602_000187","Ophcf2|00187",2
"13","GQ602_000204","Ophcf2|00204",1
"14","GQ602_000236","Ophcf2|00236",3
"15","GQ602_000293","Ophcf2|00293",4
"16","GQ602_000310","Ophcf2|00310",2
"17","GQ602_000336","Ophcf2|00336",2
"18","GQ602_000349","Ophcf2|00349",2
"19","GQ602_000351","Ophcf2|00351",3
"20","GQ602_000378","Ophcf2|00378",4
"21","GQ602_000399","Ophcf2|00399",2
"22","GQ602_000404","Ophcf2|00404",1
"23","GQ602_000407","Ophcf2|00407",1
"24","GQ602_000409","Ophcf2|00409",2
"25","GQ602_000415","Ophcf2|00415",2
"26","GQ602_000430","Ophcf2|00430",1
"27","GQ602_000478","Ophcf2|00478",2
"28","GQ602_000493","Ophcf2|00493",4
"29","GQ602_000510","Ophcf2|00510",2
"30","GQ602_000530","Ophcf2|00530",3
"31","GQ602_000545","Ophcf2|00545",1
"32","GQ602_000549","Ophcf2|00549",2
"33","GQ602_000550","Ophcf2|00550",4
"34","GQ602_000565","Ophcf2|00565",4
"35","GQ602_000572","Ophcf2|00572",1
"36","GQ602_000579","Ophcf2|00579",2
"37","GQ602_000585","Ophcf2|00585",4
"38","GQ602_000608","Ophcf2|00608",3
"39","GQ602_000619","Ophcf2|00619",4
"40","GQ602_000625","Ophcf2|00625",2
"41","GQ602_000639","Ophcf2|00639",4
"42","GQ602_000646","Ophcf2|00646",4
"43","GQ602_000677","Ophcf2|00677",1
"44","GQ602_000687","Ophcf2|00687",2
"45","GQ602_000705","Ophcf2|00705",2
"46","GQ602_000708","Ophcf2|00708",2
"47","GQ602_000714","Ophcf2|00714",3
"48","GQ602_000715","Ophcf2|00715",2
"49","GQ602_000754","Ophcf2|00754",1
"50","GQ602_000755","Ophcf2|00755",1
"51","GQ602_000780","Ophcf2|00780",4
"52","GQ602_000789","Ophcf2|00789",1
"53","GQ602_000822","Ophcf2|00822",3
"54","GQ602_000823","Ophcf2|00823",3
"55","GQ602_000843","Ophcf2|00843",4
"56","GQ602_000849","Ophcf2|00849",3
"57","GQ602_000860","Ophcf2|00860",1
"58","GQ602_000884","Ophcf2|00884",1
