"gene_name","ZT04ld","ZT08ld","ZT12ld","ZT16ld","ZT20ld","ZT24ld","ZT28ld","ZT32ld","ZT36ld","ZT40ld","ZT44ld","ZT48ld"
"XA68_11677",13.8668,13.9007,14.7283,13.6912,12.2562,14.7969,16.2092,11.0775,13.0861,13.4519,15.5167,14.5867
"XA68_11678",1.00937,1.30218,0.753612,0.443226,0.923894,0.502297,1.02733,0.768045,0.571045,1.36442,1.17637,1.43552
"XA68_11679",0,7.2004,5.00201,1.36446,9.01626,6.21755,3.46961,3.22178,3.01864,8.07564,9.94006,2.61506
"XA68_11680",0,0,0,0,0,0,0,0,0,0,0,0
"XA68_11681",76.2282,61.5439,67.1132,38.7554,67.2082,57.5672,86.914,76.2837,72.9965,55.6652,90.4856,63.8269
"XA68_11682",22.8946,24.6364,20.7302,21.0725,20.3876,18.4099,31.17,32.8824,20.1569,28.3679,17.2121,18.0942
"XA68_11683",22.0917,13.337,15.221,15.6713,18.9183,20.6416,16.5058,16.3151,11.7142,13.8367,8.84571,8.44157
"XA68_11684",98.7623,142.987,87.8841,69.5561,88.11,83.0305,118.335,149.847,83.6804,104.592,95.9307,74.2633
"XA68_11685",20.547,42.6094,23.0841,13.6784,14.8147,14.4805,56.0894,29.2911,19.7219,15.8436,14.2051,18.1081
"XA68_11686",975.455,1045.81,866.84,119.658,879.085,1024.48,669.563,932.07,575.161,790.175,883.986,584.646
"XA68_11687",1.1849,0,0.278879,0,0,0.305592,0,0,0,0,0,0.300945
"XA68_11688",17.2352,20.946,2.16866,14.1648,8.0615,14.2881,10.2838,18.8488,11.6136,5.98687,3.02358,1.07855
"XA68_11689",73.9423,76.5419,62.6157,89.1716,65.2342,59.3256,127.922,71.8498,71.7162,59.2736,61.1287,62.3244
"XA68_11690",0,21.6295,9.90137,17.1364,9.08669,31.2537,8.03558,14.7147,1.78629,10.5083,5.19145,3.66092
"XA68_11691",297.769,194.518,194.443,151.415,235.13,257.266,233.036,194.153,163.587,149.085,204.249,139.051
"XA68_11692",77.9828,68.3992,104.42,86.1622,105.014,127.487,79.7857,71.0515,102.739,72.7248,115.898,103.252
"XA68_11693",1.7151,1.86173,0.495453,0,1.00595,0,0.895618,1.79679,0.844483,1.37287,0,0.257916
"XA68_11694",31.2521,26.8372,33.8676,30.208,28.9435,28.8379,31.649,27.4609,29.4634,29.0225,29.7464,32.3722
"XA68_11695",895.01,1284.06,808.502,733.305,796.087,759.507,952.554,1083.9,730.231,1163.38,585.094,632.066
"XA68_11696",8.76371,11.4736,10.5053,1.06687,7.88087,10.6922,7.40344,14.0614,11.7101,14.3129,19.0527,12.2812
"XA68_11697",10.9488,3.13845,6.46957,3.01551,12.0471,8.28471,6.46794,9.08758,4.48724,8.42227,10.2564,5.92671
"XA68_11698",0.0547083,0.12807,0.32808,0,0.285437,0,0,0,0.149632,0.0595497,0.057915,0.0659399
"XA68_11699",0.414701,0.799233,0.945128,0,1.44618,0,0.957898,0.910581,1.25678,0.434829,2.36924,1.77458
"XA68_11700",0.613213,1.54521,0.495951,0.29354,0.403718,0.991816,0.682269,0.593893,0.564112,0.534094,0.633531,0.510278
"XA68_11701",17.2004,45.1491,45.0426,9.63719,37.6544,65.8049,8.76213,32.289,15.0613,17.3866,30.6373,22.7554
"XA68_11702",185.625,116.462,203.783,275.986,198.502,248.088,169.676,133.799,252.53,133.569,240.198,234.863
"XA68_11703",98.7991,92.763,111.603,118.38,93.3582,101.71,103.925,105.478,121.668,97.58,115.593,100.64
"XA68_11704",124.244,140.535,146.306,103.016,123.855,101.173,147.136,135.062,137.472,139.345,169.191,171.578
"XA68_11705",47.1641,39.8457,33.9569,36.0409,36.6365,30.9934,40.7126,42.8712,28.9506,55.6537,26.3241,32.6689
"XA68_11706",346.003,297.478,292.853,397.394,316.878,329.978,325.978,304.9,284.502,276.991,281.97,253.741
"XA68_11707",27.4671,22.5521,26.9861,35.5199,25.4712,26.0933,22.5476,20.4964,24.5491,23.2129,25.0509,26.7501
"XA68_11708",184.701,158.133,164.572,267.122,188.588,239.887,185.941,163.141,190.108,145.091,285.305,208.825
"XA68_11709",39.562,44.2617,38.3662,51.5643,40.1098,44.2427,45.4321,46.7679,46.8214,46.1412,41.1352,42.2814
"XA68_11710",50.1416,53.6012,54.1478,71.8333,63.5971,52.7925,51.892,50.3225,60.9817,49.3564,81.8365,62.5948
"XA68_11711",51.4724,36.7315,53.8499,37.4894,57.4917,60.8683,33.6964,35.7463,43.6676,32.6,68.7839,48.0987
"XA68_11712",108.882,72.6309,114.48,69.4127,107.972,124.037,64.6494,67.473,113.902,60.9938,136.24,100.818
"XA68_11713",680.876,890.105,760.06,273.29,541.921,364.857,276.106,546.425,243.064,288.857,785.925,317.578
"XA68_11714",17.1157,11.7038,11.777,20.5216,11.6779,10.7576,22.6173,19.4659,11.4126,22.8279,14.2223,19.2289
"XA68_11715",62.0635,72.4582,69.1542,143.383,65.7805,62.72,84.4447,84.4718,76.8725,88.3158,74.3838,92.1767
"XA68_11716",85.3852,94.4016,90.9661,92.502,83.5548,79.8281,108.451,94.0032,85.949,87.6192,97.6458,88.1758
"XA68_11717",661.586,606.711,617.392,256.727,628.144,717.305,426.609,624.972,405.804,518.434,817.026,492.592
"XA68_11718",22.3117,23.1954,20.5733,36.0522,22.8599,19.9668,22.4206,17.6537,26.1699,21.5537,23.8096,30.1113
"XA68_11719",15.3615,12.8579,10.7634,14.7325,15.2089,13.7936,18.3473,14.4116,14.3262,19.1291,13.3114,13.0816
"XA68_11720",64.1386,56.1284,62.1738,42.7268,57.0635,44.4019,68.3336,61.7014,61.3232,66.7523,56.0386,63.7065
"XA68_11721",29.6462,20.1046,27.2062,14.8824,26.1593,19.8596,30.8677,23.1499,31.8202,24.3152,32.1839,31.6946
"XA68_11722",391.309,467.567,415.413,371.984,373.162,272.624,510.531,519.383,386.098,617.571,315.637,376.505
"XA68_11723",31.156,33.7593,33.9077,33.7832,27.9207,31.7596,34.4294,35.3127,31.9095,39.4849,34.1386,38.6459
"XA68_11724",32.2012,61.7188,32.1653,56.7179,43.7919,54.1208,45.9874,65.3452,47.8256,54.107,40.1188,43.4081
"XA68_11725",1.47627,7.519,2.15583,0,1.18138,2.00273,2.56473,23.0594,9.13706,1.90778,0.847382,0.318574
"XA68_11726",25.1955,28.1411,21.5147,29.4409,21.0103,19.3786,26.9127,25.683,25.789,21.3223,24.8004,27.4046
"XA68_11727",30.4392,29.4303,30.1925,36.7485,26.5339,28.8239,25.0495,27.88,28.5733,27.3817,29.957,28.3648
"XA68_11728",9.3568,14.5285,6.94973,4.7606,4.53906,5.75328,10.3539,9.88835,6.99357,8.34728,4.73574,8.74643
"XA68_11729",20.1503,32.3767,14.6446,29.2176,9.0292,0,21.6065,9.91393,3.35671,28.973,24.7703,21.2572
"XA68_11730",85.1434,73.559,84.716,71.4565,84.4592,61.6703,99.5682,84.0103,86.1621,95.3472,100.521,106.263
"XA68_11731",642.73,627.181,605.309,410.175,683.716,965.265,572.982,672.704,456.038,607.239,623.051,531.986
"XA68_11732",216.042,248.407,201.556,29.7137,198.487,257.691,183.779,256.901,125.968,226.691,195.675,136.776
"XA68_11733",62.022,50.9127,72.2248,78.1837,73.6542,77.1394,62.747,57.3357,79.0043,58.5473,98.0502,84.6408
"XA68_11734",90.0058,69.3665,107.349,94.4001,103.712,119.998,83.1399,67.2066,89.1413,75.5532,114.574,100.927
"XA68_11735",73.5797,59.9754,88.5959,82.6274,93.7639,96.9992,62.3815,58.2767,76.2331,62.6398,101.825,80.2132
"XA68_11736",137.1,127.977,120.818,74.006,127.739,132.546,145.194,131.918,125.318,104.92,137.826,134.089
"XA68_11737",84.0632,80.7996,95.6202,116.18,99.9496,92.7114,114.282,89.618,102.527,107.558,129.491,118.361
"XA68_11738",130.57,70.7471,99.8032,104.849,114.595,93.8655,100.869,72.9477,111.678,68.0303,150.364,104.455
"XA68_11739",6.93241,3.81171,6.25082,9.08677,6.51924,5.64146,3.19922,2.43764,4.59403,2.40224,11.2851,10.211
"XA68_11740",45.759,39.7972,60.6798,54.2703,63.0652,77.4612,51.3328,50.8715,61.8122,41.6894,77.0507,63.7242
"XA68_11741",247.611,217.705,287.128,306.248,284.215,210.676,277.223,262.473,337.789,262.273,341.476,319.555
"XA68_11742",170.233,184.193,162.845,160.109,157.144,133.824,195.839,211.518,157.79,197.012,142.01,147.292
"XA68_11743",331.371,353.812,287.891,217.423,266.783,201.89,420.379,391.168,456.393,337.479,319.165,307.505
"XA68_11744",454.602,452.72,354.933,307.502,329.26,235.006,537.835,506.043,666.259,433.286,378.588,413.251
