124 common elements in DEG TMHMM and 24h rhythmic,55 common elements in DEG signalP and 24h rhytmic,127 common elements in DEGS and Modele A7,174 common elements in DEGS and Modele A1
Ophcf2|00014,Ophcf2|00043,Ophcf2|00044,Ophcf2|00009
Ophcf2|00016,Ophcf2|00221,Ophcf2|00155,Ophcf2|00016
Ophcf2|00221,Ophcf2|00553,Ophcf2|00245,Ophcf2|00037
Ophcf2|00251,Ophcf2|00682,Ophcf2|00331,Ophcf2|00140
Ophcf2|00302,Ophcf2|00759,Ophcf2|00458,Ophcf2|00157
Ophcf2|00447,Ophcf2|00836,Ophcf2|00513,Ophcf2|00189
Ophcf2|00452,Ophcf2|00850,Ophcf2|00534,Ophcf2|00194
Ophcf2|00534,Ophcf2|00923,Ophcf2|00558,Ophcf2|00340
Ophcf2|00553,Ophcf2|00987,Ophcf2|00559,Ophcf2|00345
Ophcf2|00578,Ophcf2|01109,Ophcf2|00587,Ophcf2|00434
Ophcf2|00600,Ophcf2|01337,Ophcf2|00603,Ophcf2|00447
Ophcf2|00645,Ophcf2|01420,Ophcf2|00636,Ophcf2|00505
Ophcf2|00657,Ophcf2|01496,Ophcf2|00750,Ophcf2|00542
Ophcf2|00682,Ophcf2|01699,Ophcf2|00911,Ophcf2|00553
Ophcf2|00696,Ophcf2|01993,Ophcf2|00951,Ophcf2|00572
Ophcf2|00785,Ophcf2|02674,Ophcf2|00956,Ophcf2|00576
Ophcf2|00809,Ophcf2|02818,Ophcf2|01199,Ophcf2|00663
Ophcf2|00915,Ophcf2|03157,Ophcf2|01218,Ophcf2|00681
Ophcf2|00916,Ophcf2|03342,Ophcf2|01219,Ophcf2|00715
Ophcf2|00987,Ophcf2|03466,Ophcf2|01315,Ophcf2|00731
Ophcf2|00994,Ophcf2|03537,Ophcf2|01453,Ophcf2|00745
Ophcf2|01240,Ophcf2|03653,Ophcf2|01509,Ophcf2|00746
Ophcf2|01265,Ophcf2|03707,Ophcf2|01584,Ophcf2|00867
Ophcf2|01315,Ophcf2|03744,Ophcf2|01613,Ophcf2|00881
Ophcf2|01459,Ophcf2|03894,Ophcf2|01614,Ophcf2|00899
Ophcf2|01522,Ophcf2|03971,Ophcf2|01702,Ophcf2|00914
Ophcf2|01613,Ophcf2|04348,Ophcf2|01706,Ophcf2|00915
Ophcf2|01620,Ophcf2|04496,Ophcf2|01910,Ophcf2|00957
Ophcf2|01644,Ophcf2|04603,Ophcf2|01961,Ophcf2|01081
Ophcf2|01663,Ophcf2|04833,Ophcf2|02001,Ophcf2|01228
Ophcf2|01778,Ophcf2|04914,Ophcf2|02170,Ophcf2|01229
