,ophio_cflo_ID,ophio_kim_ID,rhythmic_24h_ophio_cflo,rhythmic_24h_ophio_kim
220,Ophcf2|00251,Ophio5|4681,yes,no
221,Ophcf2|00253,Ophio5|6394,yes,no
222,Ophcf2|00254,Ophio5|6395,no,yes
223,Ophcf2|00255,Ophio5|6396,yes,no
224,Ophcf2|00256,Ophio5|6397,no,no
225,Ophcf2|00257,Ophio5|6398,no,no
226,Ophcf2|00258,Ophio5|227,yes,no
227,Ophcf2|00259,Ophio5|6074,no,no
228,Ophcf2|00260,Ophio5|6073,no,no
229,Ophcf2|00261,Ophio5|6072,yes,no
230,Ophcf2|00262,Ophio5|6071,yes,no
231,Ophcf2|00263,Ophio5|6070,no,no
232,Ophcf2|00264,Ophio5|6069,no,no
233,Ophcf2|00265,Ophio5|6068,no,yes
234,Ophcf2|00266,Ophio5|7421,yes,no
235,Ophcf2|00267,Ophio5|7420,no,no
236,Ophcf2|00268,Ophio5|7419,yes,no
237,Ophcf2|00269,Ophio5|7418,no,no
238,Ophcf2|00270,Ophio5|326,yes,no
239,Ophcf2|00271,Ophio5|7996,no,no
240,Ophcf2|00272,Ophio5|7995,no,no
241,Ophcf2|00273,Ophio5|7994,no,no
242,Ophcf2|00274,Ophio5|8154,yes,yes
243,Ophcf2|00275,Ophio5|8153,no,no
244,Ophcf2|00276,Ophio5|8152,no,no
245,Ophcf2|00277,Ophio5|8151,no,no
246,Ophcf2|00278,Ophio5|8150,no,no
247,Ophcf2|00279,Ophio5|8149,no,no
248,Ophcf2|00281,Ophio5|8148,yes,no
249,Ophcf2|00282,Ophio5|8147,no,no
250,Ophcf2|00283,Ophio5|8146,yes,no
251,Ophcf2|00284,Ophio5|8145,yes,no
252,Ophcf2|00285,Ophio5|8143,no,no
253,Ophcf2|00286,Ophio5|8142,no,yes
254,Ophcf2|00287,Ophio5|7389,no,no
255,Ophcf2|00288,Ophio5|7390,no,no
256,Ophcf2|00289,Ophio5|7391,no,no
257,Ophcf2|00290,Ophio5|7393,yes,no
258,Ophcf2|00291,Ophio5|7394,no,no
259,Ophcf2|00292,Ophio5|7395,no,no
260,Ophcf2|00293,Ophio5|7862,no,no
261,Ophcf2|00294,Ophio5|7860,no,no
262,Ophcf2|00295,Ophio5|8396,no,no
263,Ophcf2|00296,Ophio5|8398,no,no
264,Ophcf2|00297,Ophio5|7048,no,no
265,Ophcf2|00299,Ophio5|7050,yes,no
266,Ophcf2|00300,Ophio5|7663,yes,no
267,Ophcf2|00301,Ophio5|7664,no,no
268,Ophcf2|00302,Ophio5|7665,yes,no
269,Ophcf2|00303,Ophio5|6211,no,yes
