ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
BBA_00001	cosine	8.0	2.0	8.0	-3.3333335166159844e-10	0.9574271079946504	18.0	2.0	3.175426481	-0.288675135	3.464101616	-10.999999986099999	1.0	0.3692744729379981	0.0473353643123284	0.4260182788109556	0.4035964035964036	0.4035964035964036	0.9974867560244105
BBA_00004	cosine	8.0	8.0	2.0	-8.333334022836425e-11	0.957427107910807	24.0	2.0	2.142188041	-0.42817435200000004	2.570362393	-5.003074170590001	1.0	0.20786985482077455	0.1734101115230316	1.5606910037072843	0.8421578421578422	0.8421578421578422	0.9974867560244105
BBA_00005	cosine	8.0	8.0	6.0	8.333332172464719e-11	0.9574271077247556	24.0	6.0	1.492233062	-1.305260504	2.7974935660000004	-1.1432453961700002	-1.36085514382	0.1005037815259212	0.3246054073583539	2.9214486662251846	0.994005994005994	0.987467809525226	0.9974867560244105
BBA_00006	cosine	8.0	2.0	0.0	1.6666662494557727e-10	0.9574271076780476	8.0	24.0	1.7234176559999999	-1.496307789	3.219725445	-1.1517801809700001	-2.12235155404	0.296078262731896	0.0901247100752523	0.8111223906772707	0.6593406593406593	0.6352686083572914	0.9974867560244105
BBA_00007	cosine	8.0	4.0	6.0	-8.333337723579841e-11	0.9574271077578381	12.0	22.0	1.76277729	-1.601325919	3.3641032089999996	-1.10082355446	-2.23317276469	0.26801008406912324	0.11257316160194204	1.0131584544174783	0.7292707292707292	0.7167894213568566	0.9974867560244105
BBA_00008	cosine	8.0	4.0	8.0	8.333335873208131e-11	0.9574271077997444	8.0	16.0	1.5330222519999999	-2.173169804	3.7061920560000003	-0.70543141598	-3.33110981184	0.23450882356048286	0.14426833538783368	1.2984150184905032	0.8201798201798202	0.8050813098009776	0.9974867560244105
BBA_00009	cosine	8.0	0.0	6.0	-1.8503717077085938e-17	0.9574271076634862	2.0	6.0	1.197060418	-1.938733045	3.135793463	-0.617444686924	-1.380834369	0.4355163866123253	0.024358800530983115	0.219229204778848	0.219229204778848	0.219229204778848	0.9974867560244105
BBA_00010	cosine	8.0	4.0	2.0	-1.6666667120486997e-10	0.9574271078890704	12.0	2.0	1.660316956	-1.5004075669999999	3.1607245230000003	-1.1065773010700002	-1.07991868505	0.6250541102117805	0.002335688748637901	0.02102119873774111	0.02102119873774111	0.02102119873774111	0.9974867560244105
BBA_00011	cosine	8.0	4.0	2.0	-1.8503717077085938e-17	0.9574271078710888	20.0	10.0	1.733773117	-1.718071379	3.451844496	-1.0091391651100001	-1.0665005764700002	0.296078262731896	0.0901247100752523	0.8111223906772707	0.6593406593406593	0.6352686083572914	0.9974867560244105
BBA_00012	cosine	8.0	2.0	8.0	1.6666671746416262e-10	0.957427107855742	2.0	24.0	1.3679296109999999	-1.576342602	2.944272213	-0.867786995837	-4.53318361123	0.23450882356048286	0.14426833538783368	1.2984150184905032	0.8201798201798202	0.8050813098009776	0.9974867560244105
BBA_00013	cosine	8.0	4.0	6.0	8.333332172464719e-11	0.9574271076972692	12.0	24.0	1.809675441	-1.5897854009999999	3.399460842	-1.13831429063	-1.1882016746600002	0.2010075630518424	0.1814857225539041	1.633371502985137	0.8811188811188811	0.8781037693876819	0.9974867560244105
BBA_00014	cosine	8.0	4.0	6.0	8.333337723579841e-11	0.9574271076508141	12.0	24.0	1.711581014	-1.638416162	3.349997176	-1.04465584123	-1.04285043636	0.30151134457776363	0.08619310660327584	0.7757379594294825	0.6263736263736264	0.6190579106360923	0.9974867560244105
BBA_00015	cosine	8.0	0.0	4.0	9.251858538542969e-18	0.9574271078996272	4.0	18.0	1.6628724019999999	-1.7255111330000001	3.388383535	-0.96369844865	-1.5891655254100001	0.09869275424396534	0.3275593850007441	2.9480344650066965	0.997002997002997	0.9881720933174585	0.9974867560244105
BBA_00016	cosine	8.0	2.0	6.0	3.7007434154171876e-17	0.9574271077918298	8.0	24.0	2.069322785	-1.336400842	3.405723627	-1.5484297225499999	-1.02986269711	0.2631806779839076	0.11680717101068674	1.051264539096181	0.7552447552447552	0.7302539436336123	0.9974867560244105
BBA_00017	cosine	8.0	6.0	2.0	-8.333335873208131e-11	0.9574271078559085	22.0	6.0	2.107792146	-1.128888955	3.2366811010000003	-1.8671386026599996	-2.9548048095899997	0.2862098876231262	0.09760401907745037	0.8784361716970532	0.6593406593406593	0.6593406593406593	0.9974867560244105
BBA_00018	cosine	8.0	4.0	6.0	8.333333560243498e-11	0.9574271076551236	10.0	14.0	2.392061206	-1.6053670919999998	3.997428298	-1.4900400151	-0.59517573469	0.4355163866123253	0.024358800530983115	0.219229204778848	0.219229204778848	0.219229204778848	0.9974867560244105
BBA_00020	cosine	8.0	2.0	8.0	0.0	0.9574271076321371	10.0	16.0	1.826378766	-1.708013838	3.5343926039999998	-1.06929974768	-1.6921579361	0.26801008406912324	0.11257316160194204	1.0131584544174783	0.7292707292707292	0.7167894213568566	0.9974867560244105
BBA_00021	cosine	8.0	8.0	6.0	0.0	0.9574271078207952	24.0	14.0	1.691261565	-2.397552142	4.088813707	-0.7054117970460001	2.55366687692	0.4355163866123253	0.024358800530983115	0.219229204778848	0.219229204778848	0.219229204778848	0.9974867560244105
BBA_00022	cosine	8.0	4.0	6.0	9.251858538542969e-18	0.9574271077622206	2.0	14.0	1.932498496	-1.146645448	3.0791439439999997	-1.6853496426199999	-1.3457466703100003	0.1005037815259212	0.3246054073583539	2.9214486662251846	0.994005994005994	0.987467809525226	0.9974867560244105
BBA_00023	cosine	8.0	4.0	2.0	-1.7347234759768068e-17	0.957427107740498	20.0	2.0	1.3044401490000002	-1.986757232	3.2911973810000004	-0.656567459773	-5.069803075569999	0.36187343222787294	0.05073562797633993	0.4566206517870594	0.4566206517870594	0.44046989921921054	0.9974867560244105
BBA_00024	cosine	8.0	6.0	2.0	-7.401486830834377e-17	0.957427107941868	24.0	8.0	1.719252519	-1.683860361	3.40311288	-1.02101846378	-2.00029114268	0.39477101697586137	0.036997041274293985	0.3329733714686458	0.3329733714686458	0.3329733714686458	0.9974867560244105
