GO	adj_pVal
GO:0007165	5.276358612633578e-5
GO:0055085	5.276358612633578e-5
GO:0016021	3.1792416101237534e-4
GO:0031224	3.1792416101237534e-4
GO:0050794	3.537286788037822e-4
GO:0000155	3.537286788037822e-4
GO:0004673	3.537286788037822e-4
GO:0016775	3.537286788037822e-4
GO:0140299	3.537286788037822e-4
GO:0004672	3.537286788037822e-4
GO:0050789	4.8796992136469167e-4
GO:0051179	5.859125186961409e-4
GO:0065007	5.859125186961409e-4
GO:0035556	5.859125186961409e-4
GO:0022857	5.859125186961409e-4
GO:0006810	5.976373999848887e-4
GO:0016301	5.976373999848887e-4
GO:0051234	5.976373999848887e-4
GO:0000160	6.50848702986017e-4
GO:0005215	7.355581559306702e-4
GO:0016773	8.611303819583537e-4
GO:0044425	0.0010214499813060354
GO:0140096	0.003051647630666675
GO:0016772	0.006889964147815447
GO:0006464	0.006889964147815447
GO:0036211	0.006889964147815447
GO:0008150	0.006889964147815447
GO:0006793	0.008020446967120216
GO:0006796	0.008020446967120216
GO:0015399	0.008020446967120216
GO:0015405	0.008020446967120216
GO:0042626	0.008020446967120216
GO:0043492	0.008020446967120216
GO:0016740	0.009407078272560137
GO:0006468	0.011112227013236674
GO:0003700	0.011465184721301432
GO:0003674	0.011465184721301432
GO:0004842	0.012334585299826816
GO:0019787	0.012334585299826816
GO:0005515	0.012904884710281304
GO:0022804	0.01337343194848104
GO:0006629	0.01417638052130015
GO:0043412	0.014538941170025856
GO:0006811	0.015848640036576767
GO:0008654	0.017537128611855853
GO:0016310	0.01891253891452352
GO:0050790	0.020327642250671504
GO:0065009	0.020327642250671504
GO:0005615	0.020327642250671504
GO:0044421	0.020327642250671504
GO:0090729	0.020327642250671504
GO:0031323	0.020327642250671504
GO:0051171	0.021192426515116942
GO:0080090	0.021192426515116942
GO:0009405	0.02485824652441149
GO:0019222	0.026171884733305468
GO:0060255	0.026171884733305468
GO:0140110	0.027388328095092694
GO:0006644	0.03058047790115353
GO:0008610	0.03058047790115353
GO:0042623	0.03058047790115353
GO:0003824	0.03058047790115353
GO:0006355	0.03058047790115353
GO:0051252	0.03058047790115353
GO:1903506	0.03058047790115353
GO:2001141	0.03058047790115353
GO:0005488	0.030850021816512883
GO:0019219	0.033823210056604505
GO:0043167	0.034043952753003655
GO:0009889	0.034043952753003655
GO:0010556	0.034043952753003655
GO:0031326	0.034043952753003655
GO:2000112	0.034043952753003655
GO:0000981	0.03438696663200552
GO:0015075	0.03464477069125311
GO:0046872	0.034991502832273105
GO:0043169	0.03542137177709002
GO:0044419	0.03542137177709002
GO:0051704	0.03542137177709002
GO:0010468	0.035623507893037934
GO:0006820	0.041948320179170266
GO:0090407	0.043316524946378644
GO:0016747	0.048051654299420286
