GO	adj_pVal
GO:0032991	0.003053146469755097
GO:0034470	0.003053146469755097
GO:1990904	0.003053146469755097
GO:0044444	0.004048734958965739
GO:0006396	0.004048734958965739
GO:0044429	0.004914744440200796
GO:0008033	0.007280108999211325
GO:0034660	0.007280108999211325
GO:0140098	0.007280108999211325
GO:0005840	0.01409392495065395
GO:0006412	0.01409392495065395
GO:0003735	0.01409392495065395
GO:0043043	0.01409392495065395
GO:0006518	0.01581794594487149
GO:0043604	0.01769676930730647
GO:0016853	0.019934596945227447
GO:0034641	0.019934596945227447
GO:0005198	0.019934596945227447
GO:0006399	0.019934596945227447
GO:0043603	0.019934596945227447
GO:0043170	0.019934596945227447
GO:0140101	0.023424050005555853
GO:0043228	0.023550533755644715
GO:0043232	0.023550533755644715
GO:0044424	0.025856252145259613
GO:1901566	0.027432845929105346
GO:0016070	0.032759901477996525
GO:0006807	0.032759901477996525
GO:0044267	0.032759901477996525
GO:0044422	0.034851449066354324
GO:0044446	0.034851449066354324
GO:0044464	0.03602854724083401
GO:0098796	0.04347520996029445
GO:0019538	0.04603420946477308
GO:0034645	0.04603420946477308
GO:0044237	0.0499214156443503
