GO	adj_pVal
GO:0006412	6.576013905417369e-35
GO:0043043	2.0825390363232445e-34
GO:0003735	9.735897017550366e-34
GO:0005840	9.735897017550366e-34
GO:0005198	1.3363419217684934e-33
GO:0006518	2.2207774066824123e-33
GO:0043604	2.1479621799946324e-32
GO:1990904	4.691330979447626e-32
GO:0043228	3.880601296891152e-30
GO:0043232	3.880601296891152e-30
GO:0043603	9.307722817435992e-30
GO:0034641	3.199765007048976e-25
GO:0034645	3.9292565365849926e-25
GO:0009059	4.151350709770027e-25
GO:1901566	9.39355081606066e-23
GO:0032991	1.794558612489649e-22
GO:0044444	2.0176909139438174e-20
GO:0044271	4.3282493313602184e-19
GO:0043170	4.902242842933395e-18
GO:0044260	1.7356819382993182e-17
GO:0005622	2.0996248364126337e-17
GO:0009058	1.3062572539476857e-16
GO:0006807	1.3062572539476857e-16
GO:0044249	2.0737176404074534e-16
GO:0044237	3.0519463798175005e-16
GO:1901576	4.664291045404632e-16
GO:0009987	1.0504298960885403e-15
GO:0044424	1.173959325126305e-15
GO:0043226	1.241529893806718e-15
GO:0043229	1.241529893806718e-15
GO:0044464	4.1754842744387205e-15
GO:0044267	8.901267182402582e-13
GO:1901564	6.2486336506460554e-12
GO:0044238	6.791426342413074e-12
GO:0071704	1.0163515074326991e-11
GO:0019538	2.9895441536689696e-11
GO:0008152	1.7597429967168665e-10
GO:0003674	3.2370037949285524e-7
GO:0006139	4.96032736707954e-7
GO:0097159	5.203587466946211e-7
GO:1901363	5.203587466946211e-7
GO:0090304	6.225321568344545e-7
GO:0006725	2.353213566546352e-6
GO:1901360	2.796879666373875e-6
GO:0003676	2.8853573786330315e-6
GO:0046483	2.956964840492679e-6
GO:0005575	1.1159987101010615e-5
GO:0008150	1.4026248551469843e-5
GO:0006259	4.1347044094850786e-5
GO:0140098	5.447960131954341e-5
GO:0003899	8.474053593577021e-5
GO:0008144	2.451801383907576e-4
GO:0034062	2.602621401034485e-4
GO:0097747	2.602621401034485e-4
GO:0005488	3.681135098074433e-4
GO:0003723	5.841822804018178e-4
GO:0016070	6.087655259823959e-4
GO:0005524	0.0012176832131387053
GO:0032559	0.001352320190581369
GO:0030554	0.0014994121050957584
GO:0035639	0.001608135291989167
GO:0036094	0.0016355180810829764
GO:0032555	0.0017326355844643714
GO:0022613	0.001759230259179106
GO:0042254	0.001759230259179106
GO:0044085	0.001759230259179106
GO:0017076	0.0018138481486614148
GO:0071840	0.0018884648261864663
GO:0032553	0.0020540205399666024
GO:0097367	0.002351192295077323
GO:0016779	0.0025337219236894488
GO:0034660	0.0029538775644884795
GO:0009055	0.0033678123082764373
GO:0006399	0.003481624264995409
GO:0000166	0.004308813048374543
GO:1901265	0.004308813048374543
GO:0140101	0.004308813048374543
GO:0004812	0.004308813048374543
GO:0016875	0.004308813048374543
GO:0043038	0.004308813048374543
GO:0043039	0.004308813048374543
GO:0044427	0.004956582024879424
GO:0003677	0.005169441977802943
GO:0044265	0.005276380005854684
GO:0009057	0.006563233656585163
GO:0043168	0.007250668264487997
GO:0006418	0.007950764975320107
GO:0006260	0.007950764975320107
GO:0034655	0.008732585123963073
GO:0006082	0.008732585123963073
GO:0044422	0.008732585123963073
GO:0044446	0.008732585123963073
GO:0006974	0.011487889129056393
GO:0016874	0.011487889129056393
GO:0006950	0.011490411200676948
GO:0033554	0.012607689242698178
GO:0019752	0.013137860798589916
GO:0050896	0.013430586197313386
GO:0051716	0.013430586197313386
GO:0015078	0.013751792801368677
GO:0044281	0.013751792801368677
GO:0043436	0.014845476564845689
GO:0015077	0.016229677787620723
GO:0046700	0.018818704742095703
GO:0051603	0.022177376654372756
GO:0016043	0.02241273129187925
GO:0006310	0.02273358931693975
GO:0019439	0.02273358931693975
GO:0044270	0.02273358931693975
GO:1902600	0.024290431418392947
GO:0006520	0.025157194933579832
GO:0006281	0.028398956289300996
GO:0044248	0.03204810591013217
GO:1901361	0.032494712774557254
GO:0030170	0.032494712774557254
GO:0070279	0.032494712774557254
GO:0022607	0.034832012151733045
GO:0140097	0.034832012151733045
GO:0015672	0.03722403245331155
GO:0034220	0.03854051709244299
GO:0065003	0.041102821845601455
GO:1901575	0.041679534188938404
GO:0044429	0.04182333108065132
